,type,properties.coddistrit,properties.codsec,properties.coddistsec,geometry.type,geometry.coordinates
0,Feature,19,8,1908,Polygon,"[[[-0.33751415838652, 39.3852999102882], [-0.336081147268443, 39.385604848799495], [-0.335255802662981, 39.38344184068258], [-0.334462251304255, 39.38353172120158], [-0.334409366638321, 39.385129541206226], [-0.33204495204898, 39.38489503554787], [-0.331798225822192, 39.38689378234773], [-0.331372392909679, 39.38905955061944], [-0.330808631609023, 39.39038884632363], [-0.33089641782236, 39.39145386533725], [-0.329946576355461, 39.391130228210955], [-0.329330910111584, 39.39174665159683], [-0.328767508533673, 39.39240030831035], [-0.328091948146294, 39.39765920172644], [-0.326416997438565, 39.389576072737746], [-0.323065550018189, 39.380107400810175], [-0.319177429510942, 39.368856070969784], [-0.317029759979862, 39.363851767200835], [-0.312392425044836, 39.350794791431625], [-0.306088648557717, 39.33667212480324], [-0.30070196370556, 39.32475485897355], [-0.292066587054212, 39.3082617281066], [-0.299456446223401, 39.31010473542668], [-0.299133375326285, 39.311493589178156], [-0.300688067627445, 39.3131332490818], [-0.304274034369553, 39.31572988420857], [-0.310491655718946, 39.32473398961607], [-0.311661173376158, 39.327774468330375], [-0.312256917100672, 39.33099536046555], [-0.319103554060828, 39.34008548494169], [-0.321028386282596, 39.33946773396253], [-0.32320634027697, 39.3483778859541], [-0.326259463901732, 39.35793426367769], [-0.329322529331087, 39.35789212136498], [-0.329530452844644, 39.3618742168024], [-0.330221735701395, 39.365335914873405], [-0.331268727854998, 39.37056247209155], [-0.334089680685451, 39.379464767994016], [-0.33751415838652, 39.3852999102882]]]"
1,Feature,19,9,1909,Polygon,"[[[-0.299456446223401, 39.31010473542668], [-0.301311800621896, 39.310201862477804], [-0.305660548807984, 39.312221576094686], [-0.311938771505098, 39.31426773354971], [-0.311805449697121, 39.31299891811931], [-0.311109482145772, 39.31220807136868], [-0.310112097841873, 39.30978866830675], [-0.308569493328821, 39.305032373562874], [-0.305506273708001, 39.299285904548164], [-0.308842509337916, 39.30121896741445], [-0.312354027324474, 39.30346228680251], [-0.314085826841438, 39.30358337819093], [-0.315116155210214, 39.30394950536452], [-0.316298582177585, 39.303427262769816], [-0.318071561735154, 39.303229432671735], [-0.318206853651424, 39.3035388520602], [-0.318406580991061, 39.30563349980838], [-0.318715863961634, 39.30764959380141], [-0.318588532973807, 39.30904752567935], [-0.318391810858508, 39.31114203835659], [-0.318458117740152, 39.311702112646], [-0.320399237740009, 39.311737851940805], [-0.320490632023456, 39.31287506631043], [-0.322830741179028, 39.314802797885676], [-0.324034376691795, 39.31448816986015], [-0.328462968535616, 39.31395938696118], [-0.329512674391873, 39.31306009646263], [-0.333345543326541, 39.31521558347255], [-0.333425645936961, 39.31387060221933], [-0.337206346443917, 39.314119401225184], [-0.337801103540396, 39.31745277165264], [-0.347073443902879, 39.316480036674854], [-0.350322898187561, 39.3114145807006], [-0.355941148730714, 39.311848635125266], [-0.357663687015969, 39.308257178895666], [-0.359052982597873, 39.30718061541549], [-0.361130860084454, 39.306795309073564], [-0.361648228263145, 39.30569894832982], [-0.362420351080569, 39.30627048764026], [-0.363135983088955, 39.30622363705253], [-0.364043217446091, 39.30532077720021], [-0.367082051012948, 39.306808433433744], [-0.367138745518314, 39.30742231545456], [-0.369192752555343, 39.307653429636105], [-0.374209385422192, 39.30721264245125], [-0.37537773517365, 39.30779302904888], [-0.375800497437453, 39.309221444719576], [-0.37695745260805, 39.31010785649758], [-0.379299567019904, 39.31114706227988], [-0.378402418325163, 39.31180252370599], [-0.376245537936042, 39.31218635954341], [-0.381156903358297, 39.31667069608284], [-0.384348112046959, 39.31747664244643], [-0.384934939571352, 39.31662948644827], [-0.390004004953813, 39.31477481014685], [-0.391070383181132, 39.318122937947685], [-0.391161464963549, 39.32206630472016], [-0.391600681704956, 39.323062601251344], [-0.394462803510785, 39.322941998260966], [-0.395121176230963, 39.32658724568128], [-0.395911791058935, 39.328821074018194], [-0.397425348956834, 39.32867023032651], [-0.398200292261677, 39.33130908245417], [-0.39582062039193, 39.33125589439492], [-0.39576345905878, 39.33279513733882], [-0.398736724497609, 39.33396971702107], [-0.397639567119756, 39.33573351894574], [-0.393229356641169, 39.33476999575992], [-0.393029562126694, 39.33587364408758], [-0.395230171813652, 39.336476954013754], [-0.393495899388861, 39.33828951796812], [-0.392394487327597, 39.3380171052805], [-0.392140064855881, 39.338443844015806], [-0.391022584029887, 39.338603495237784], [-0.390675624591456, 39.339393024816516], [-0.391763325561499, 39.34003452053242], [-0.387862685671544, 39.340316441335574], [-0.388716710231759, 39.34082659451379], [-0.388068302500322, 39.341181421098376], [-0.388620340455426, 39.34341454233786], [-0.386879645718816, 39.34324935418527], [-0.386734086617548, 39.345034385210326], [-0.387336577049157, 39.34797585470498], [-0.386159854401365, 39.34758006360192], [-0.386739552185877, 39.349070565493975], [-0.386199234434066, 39.35078366548269], [-0.386396343795085, 39.35189620528114], [-0.385831337428996, 39.352131263617814], [-0.385563950223819, 39.35292255716466], [-0.385944202238209, 39.35336353345255], [-0.384992036629175, 39.35334214087249], [-0.384019211116029, 39.35387433144246], [-0.382803982650631, 39.35452718768342], [-0.38260629804853, 39.355567787530376], [-0.37864951484849, 39.35732556096895], [-0.378215520074279, 39.35830226654667], [-0.376156915251901, 39.35813423984603], [-0.376143096290208, 39.35850329597494], [-0.375049071547079, 39.35804618886219], [-0.371749199843542, 39.35920141571701], [-0.369890233443225, 39.36217739677403], [-0.363237992144568, 39.35956288531542], [-0.360794933435901, 39.36218762821987], [-0.360036988321187, 39.36334158172936], [-0.360874793931655, 39.36428399938335], [-0.356169757105355, 39.364794265225335], [-0.35350708090229, 39.365904862224696], [-0.351621023517577, 39.36746099612647], [-0.351908176666253, 39.36826931630032], [-0.347940511192049, 39.370273327337586], [-0.344434452063867, 39.36637348700536], [-0.341379675620353, 39.36735310440265], [-0.342917489168323, 39.370775583847745], [-0.337812609800207, 39.37342881773381], [-0.334979407132439, 39.368557691821366], [-0.33321698952325, 39.368949643930335], [-0.331501881455226, 39.36532029495914], [-0.330221735701395, 39.365335914873405], [-0.329530452844644, 39.3618742168024], [-0.329322529331087, 39.35789212136498], [-0.326259463901732, 39.35793426367769], [-0.32320634027697, 39.3483778859541], [-0.321028386282596, 39.33946773396253], [-0.319103554060828, 39.34008548494169], [-0.312256917100672, 39.33099536046555], [-0.311661173376158, 39.327774468330375], [-0.310491655718946, 39.32473398961607], [-0.304274034369553, 39.31572988420857], [-0.300688067627445, 39.3131332490818], [-0.299133375326285, 39.311493589178156], [-0.299456446223401, 39.31010473542668]]]"
2,Feature,19,16,1916,Polygon,"[[[-0.292066587054212, 39.3082617281066], [-0.285809982382361, 39.2964450027512], [-0.280103389717369, 39.286978603041355], [-0.275394171281901, 39.279143375723095], [-0.275708803214805, 39.27874535389111], [-0.276403023901428, 39.279076920081394], [-0.278319303983835, 39.27924340139653], [-0.278748195629797, 39.279149837688514], [-0.279228356833152, 39.27922863790945], [-0.281573574617428, 39.279805989487606], [-0.285307143578857, 39.280996776930856], [-0.28713846025161, 39.28139535874111], [-0.292863410177374, 39.2834251187993], [-0.293546873261738, 39.284490550079084], [-0.30093968999533, 39.29290539343077], [-0.305506273708001, 39.299285904548164], [-0.308569493328821, 39.305032373562874], [-0.310112097841873, 39.30978866830675], [-0.311109482145772, 39.31220807136868], [-0.311805449697121, 39.31299891811931], [-0.311938771505098, 39.31426773354971], [-0.305660548807984, 39.312221576094686], [-0.301311800621896, 39.310201862477804], [-0.299456446223401, 39.31010473542668], [-0.292066587054212, 39.3082617281066]]]"
3,Feature,10,30,1030,Polygon,"[[[-0.369414997986091, 39.44771760419437], [-0.368259147124501, 39.448191418277055], [-0.367862899486176, 39.44760588102213], [-0.367461516902115, 39.44713734020377], [-0.366531460262073, 39.44711176078005], [-0.366345324936158, 39.4470985332881], [-0.366314287807123, 39.447093325419985], [-0.366275444523336, 39.44708343621815], [-0.366228795096125, 39.447068865675014], [-0.365812433449593, 39.44690177378794], [-0.365301184103512, 39.446728024523516], [-0.364913511199231, 39.44657058869782], [-0.364700678520964, 39.44647567410738], [-0.36452497522446, 39.44635907932157], [-0.364440115889319, 39.446086891161535], [-0.364608616021395, 39.445874502205236], [-0.364733761151434, 39.44565662534741], [-0.364813482957722, 39.445622398235344], [-0.365129048342827, 39.445746668575666], [-0.365324280858949, 39.44555740669404], [-0.365518559315473, 39.444372652356414], [-0.365728013019811, 39.44372876858489], [-0.365804929817748, 39.44338367411767], [-0.367818766654678, 39.4439202892036], [-0.36822215856088, 39.44315917802019], [-0.368741623044711, 39.44245926744129], [-0.368777620095777, 39.442140279411454], [-0.369426740497832, 39.44220001875009], [-0.369027216349764, 39.44546113336344], [-0.368963286362877, 39.44611732698538], [-0.369122097203153, 39.447183959110305], [-0.36934573133958, 39.447589913103556], [-0.369414997986091, 39.44771760419437]]]"
4,Feature,9,40,0940,Polygon,"[[[-0.389612795515118, 39.44772266760802], [-0.38581617935237, 39.44783550761701], [-0.38631360237086, 39.44640078682694], [-0.389753874872038, 39.44721233584312], [-0.389612795515118, 39.44772266760802]]]"
5,Feature,9,38,0938,Polygon,"[[[-0.383597803343464, 39.44728559016221], [-0.38492538089938, 39.443540792238494], [-0.387155068200683, 39.43719035726011], [-0.389833333093427, 39.43751179480839], [-0.388017242689654, 39.442092382468275], [-0.387645585712548, 39.443038935366815], [-0.387151378450997, 39.44431157103586], [-0.38631360237086, 39.44640078682694], [-0.38581617935237, 39.44783550761701], [-0.383597803343464, 39.44728559016221]]]"
6,Feature,9,35,0935,Polygon,"[[[-0.392097857731939, 39.4476478406159], [-0.389612795515118, 39.44772266760802], [-0.389753874872038, 39.44721233584312], [-0.390160053117088, 39.44617643966649], [-0.391344273952637, 39.44645527773591], [-0.39244717638065, 39.44671426135004], [-0.392097857731939, 39.4476478406159]]]"
7,Feature,9,31,0931,Polygon,"[[[-0.38631360237086, 39.44640078682694], [-0.387151378450997, 39.44431157103586], [-0.388019480372791, 39.44449775070866], [-0.388093592540733, 39.44428320558979], [-0.389663436042297, 39.444638294096244], [-0.389427115151754, 39.445268104939714], [-0.390425062107173, 39.445497723316464], [-0.390160053117088, 39.44617643966649], [-0.389753874872038, 39.44721233584312], [-0.38631360237086, 39.44640078682694]]]"
8,Feature,9,36,0936,Polygon,"[[[-0.391344273952637, 39.44645527773591], [-0.391863208606344, 39.44510209454868], [-0.392978433407479, 39.445361349678116], [-0.39244717638065, 39.44671426135004], [-0.391344273952637, 39.44645527773591]]]"
9,Feature,9,37,0937,Polygon,"[[[-0.390160053117088, 39.44617643966649], [-0.390425062107173, 39.445497723316464], [-0.390683372997409, 39.44482336026711], [-0.391863208606344, 39.44510209454868], [-0.391344273952637, 39.44645527773591], [-0.390160053117088, 39.44617643966649]]]"
