CODIGO;NUM_VIVIENDA_TURISTICA;TOTAL_PLAZAS;RATIO_PLAZA_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;MUN;MUN_LITERAL
4600101001;1;4;4,0;0,1;46001;Ademuz
4600201001;18;88;4,9;2,2;46002;Ador
4600301001;3;21;7,0;0,4;46003;Atzeneta d'Albaida
4600401001;5;35;7,0;0,4;46004;Agullent
4600501001;1;2;2,0;0,2;46005;Alaquàs
4600501002;0;0;;0,0;46005;Alaquàs
4600501003;1;2;2,0;0,3;46005;Alaquàs
4600501004;0;0;;0,0;46005;Alaquàs
4600501005;1;2;2,0;0,1;46005;Alaquàs
4600501006;1;2;2,0;0,2;46005;Alaquàs
4600501007;0;0;;0,0;46005;Alaquàs
4600501008;0;0;;0,0;46005;Alaquàs
4600501009;0;0;;0,0;46005;Alaquàs
4600501010;0;0;;0,0;46005;Alaquàs
4600502001;0;0;;0,0;46005;Alaquàs
4600502002;0;0;;0,0;46005;Alaquàs
4600502003;1;4;4,0;0,2;46005;Alaquàs
4600502004;0;0;;0,0;46005;Alaquàs
4600502005;1;6;6,0;0,1;46005;Alaquàs
4600502006;0;0;;0,0;46005;Alaquàs
4600502007;0;0;;0,0;46005;Alaquàs
4600503001;0;0;;0,0;46005;Alaquàs
4600503002;0;0;;0,0;46005;Alaquàs
4600503003;0;0;;0,0;46005;Alaquàs
4600503004;0;0;;0,0;46005;Alaquàs
4600503005;0;0;;0,0;46005;Alaquàs
4600601001;0;0;;0,0;46006;Albaida
4600601002;1;3;3,0;0,2;46006;Albaida
4600601003;0;0;;0,0;46006;Albaida
4600601004;2;9;4,5;0,5;46006;Albaida
4600601005;1;10;10,0;0,2;46006;Albaida
4600601006;0;0;;0,0;46006;Albaida
4600601007;0;0;;0,0;46006;Albaida
4600701001;1;1;1,0;0,1;46007;Albal
4600701002;0;0;;0,0;46007;Albal
4600701003;2;4;2,0;0,2;46007;Albal
4600701004;0;0;;0,0;46007;Albal
4600702001;0;0;;0,0;46007;Albal
4600702002;0;0;;0,0;46007;Albal
4600702003;1;3;3,0;0,1;46007;Albal
4600703001;0;0;;0,0;46007;Albal
4600704001;0;0;;0,0;46007;Albal
4600801001;0;0;;0,0;46008;Albalat de la Ribera
4600801002;0;0;;0,0;46008;Albalat de la Ribera
4600901001;1;2;2,0;0,2;46009;Albalat dels Sorells
4600901002;2;8;4,0;0,3;46009;Albalat dels Sorells
4600901003;5;16;3,2;0,6;46009;Albalat dels Sorells
4601001001;4;42;10,5;0,2;46010;Albalat dels Tarongers
4601101001;0;0;;0,0;46011;Alberic
4601101002;0;0;;0,0;46011;Alberic
4601101003;0;0;;0,0;46011;Alberic
4601101004;1;20;20,0;0,2;46011;Alberic
4601101005;0;0;;0,0;46011;Alberic
4601101006;7;44;6,3;0,5;46011;Alberic
4601101007;0;0;;0,0;46011;Alberic
4601201001;10;35;3,5;1,0;46012;Alborache
4601301001;2;4;2,0;0,2;46013;Alboraya
4601301002;0;0;;0,0;46013;Alboraya
4601301003;0;0;;0,0;46013;Alboraya
4601301004;1;5;5,0;0,1;46013;Alboraya
4601301005;5;15;3,0;0,6;46013;Alboraya
4601301006;2;4;2,0;0,3;46013;Alboraya
4601301007;173;854;4,9;8,6;46013;Alboraya
4601301008;0;0;;0,0;46013;Alboraya
4601301009;2;7;3,5;0,3;46013;Alboraya
4601301010;0;0;;0,0;46013;Alboraya
4601301011;3;9;3,0;0,3;46013;Alboraya
4601301012;81;379;4,7;2,5;46013;Alboraya
4601401001;0;0;;0,0;46014;Albuixech
4601401002;1;8;8,0;0,1;46014;Albuixech
4601501001;0;0;;0,0;46015;Alcàsser
4601501002;0;0;;0,0;46015;Alcàsser
4601501003;0;0;;0,0;46015;Alcàsser
4601501004;2;8;4,0;0,2;46015;Alcàsser
4601501005;1;2;2,0;0,1;46015;Alcàsser
4601501006;0;0;;0,0;46015;Alcàsser
4601601001;0;0;;0,0;46016;Alcàntera de Xúquer
4601701001;4;20;5,0;0,9;46017;Alzira
4601701002;1;2;2,0;0,1;46017;Alzira
4601701003;0;0;;0,0;46017;Alzira
4601702001;0;0;;0,0;46017;Alzira
4601702002;1;4;4,0;0,1;46017;Alzira
4601702003;0;0;;0,0;46017;Alzira
4601702004;2;14;7,0;0,3;46017;Alzira
4601702005;0;0;;0,0;46017;Alzira
4601702006;1;1;1,0;0,2;46017;Alzira
4601702007;0;0;;0,0;46017;Alzira
4601702008;1;4;4,0;0,1;46017;Alzira
4601702009;0;0;;0,0;46017;Alzira
4601703001;0;0;;0,0;46017;Alzira
4601703002;0;0;;0,0;46017;Alzira
4601703003;0;0;;0,0;46017;Alzira
4601703004;0;0;;0,0;46017;Alzira
4601704001;2;12;6,0;0,3;46017;Alzira
4601704002;0;0;;0,0;46017;Alzira
4601704003;0;0;;0,0;46017;Alzira
4601704004;0;0;;0,0;46017;Alzira
4601704005;0;0;;0,0;46017;Alzira
4601704006;1;4;4,0;0,2;46017;Alzira
4601704007;0;0;;0,0;46017;Alzira
4601704008;0;0;;0,0;46017;Alzira
4601704009;0;0;;0,0;46017;Alzira
4601704010;0;0;;0,0;46017;Alzira
4601704011;0;0;;0,0;46017;Alzira
4601704012;0;0;;0,0;46017;Alzira
4601704013;1;1;1,0;0,1;46017;Alzira
4601705001;0;0;;0,0;46017;Alzira
4601705002;19;115;6,1;1,0;46017;Alzira
4601705003;1;10;10,0;0,2;46017;Alzira
4601801001;0;0;;0,0;46018;Alcublas
4601901001;1;4;4,0;0,1;46019;Alcúdia, l'
4601901002;0;0;;0,0;46019;Alcúdia, l'
4601901003;0;0;;0,0;46019;Alcúdia, l'
4601902001;0;0;;0,0;46019;Alcúdia, l'
4601902002;0;0;;0,0;46019;Alcúdia, l'
4601902003;0;0;;0,0;46019;Alcúdia, l'
4601902004;0;0;;0,0;46019;Alcúdia, l'
4601902005;0;0;;0,0;46019;Alcúdia, l'
4601902006;0;0;;0,0;46019;Alcúdia, l'
4602001001;0;0;;0,0;46020;Alcúdia de Crespins, l'
4602001002;0;0;;0,0;46020;Alcúdia de Crespins, l'
4602001003;0;0;;0,0;46020;Alcúdia de Crespins, l'
4602101001;0;0;;0,0;46021;Aldaia
4602101002;0;0;;0,0;46021;Aldaia
4602101003;0;0;;0,0;46021;Aldaia
4602101004;0;0;;0,0;46021;Aldaia
4602101005;0;0;;0,0;46021;Aldaia
