location_raw;Fuente de ingreso: salario;Fuente de ingreso: pensiones;Fuente de ingreso: prestaciones por desempleo;Fuente de ingreso: otras prestaciones;Fuente de ingreso: otros ingresos
44001 Ababuj;;;;;
4400101 Ababuj distrito 01;;;;;
4400101001 Ababuj sección 01001;;;;;
40001 Abades;7150;2617;155;514;1719
4000101 Abades distrito 01;7150;2617;155;514;1719
4000101001 Abades sección 01001;7150;2617;155;514;1719
10001 Abadía;4578;2913;630;621;744
1000101 Abadía distrito 01;4578;2913;630;621;744
1000101001 Abadía sección 01001;4578;2913;630;621;744
27001 Abadín;4460;4513;175;686;1416
2700101 Abadín distrito 01;4460;4513;175;686;1416
2700101001 Abadín sección 01001;5034;4115;188;741;1504
2700101002 Abadín sección 01002;4047;4618;139;602;1474
2700101003 Abadín sección 01003;4280;4750;187;697;1314
48001 Abadiño;11670,1;;;1187,4;1463
4800101 Abadiño distrito 01;11670,1;;;1187,4;1463
4800101001 Abadiño sección 01001;13963,3;;;1187,4;2296,5
4800101002 Abadiño sección 01002;9057;;;1187,4;1158,6
4800101003 Abadiño sección 01003;8574;;;1187,4;851,7
4800101004 Abadiño sección 01004;13292,8;;;1187,4;1382
4800101005 Abadiño sección 01005;11613,5;;;1187,4;1437,8
31001 Abáigar;;;;;
3100101 Abáigar distrito 01;;;;;
3100101001 Abáigar sección 01001;;;;;
09001 Abajas;;;;;
0900101 Abajas distrito 01;;;;;
0900101001 Abajas sección 01001;;;;;
26001 Ábalos;5071;3340;232;424;3799
2600101 Ábalos distrito 01;5071;3340;232;424;3799
2600101001 Ábalos sección 01001;5071;3340;232;424;3799
20001 Abaltzisketa;11232,1;;;1187,4;3864,8
2000101 Abaltzisketa distrito 01;11232,1;;;1187,4;3864,8
2000101001 Abaltzisketa sección 01001;11232,1;;;1187,4;3864,8
19001 Abánades;;;;;
1900101 Abánades distrito 01;;;;;
1900101001 Abánades sección 01001;;;;;
30001 Abanilla;5518;3066;266;686;1081
3000101 Abanilla distrito 01;6221;2697;282;738;1183
3000101001 Abanilla sección 01001;5153;2802;274;733;1108
3000101002 Abanilla sección 01002;7233;2144;314;622;1099
3000101003 Abanilla sección 01003;6002;3565;234;960;1458
3000102 Abanilla distrito 02;4717;3486;248;628;966
3000102001 Abanilla sección 02001;4510;3537;268;605;967
3000102002 Abanilla sección 02002;4098;3656;226;696;815
3000102003 Abanilla sección 02003;5787;3200;246;576;1150
50001 Abanto;;;;;
5000101 Abanto distrito 01;;;;;
5000101001 Abanto sección 01001;;;;;
48002 Abanto y Ciérvana-Abanto Zierbena;10512,8;;;1187,4;1011,9
4800201 Abanto y Ciérvana-Abanto Zierbena distrito 01;9826,9;;;1187,4;912,6
4800201001 Abanto y Ciérvana-Abanto Zierbena sección 01001;9638,6;;;1187,4;909,6
4800201002 Abanto y Ciérvana-Abanto Zierbena sección 01002;9894,8;;;1187,4;1061,2
4800201004 Abanto y Ciérvana-Abanto Zierbena sección 01004;7813,6;;;1187,4;740,4
4800201005 Abanto y Ciérvana-Abanto Zierbena sección 01005;11094,7;;;1187,4;895,3
4800202 Abanto y Ciérvana-Abanto Zierbena distrito 02;11304,7;;;1187,4;1126,6
4800202001 Abanto y Ciérvana-Abanto Zierbena sección 02001;10100;;;1187,4;1122,2
