location_raw;Índice de Gini;Distribución de la renta P80/P20
44001 Ababuj;.;.
4400101 Ababuj distrito 01;.;.
4400101001 Ababuj sección 01001;.;.
40001 Abades;24,4;2,2
4000101 Abades distrito 01;24,4;2,2
4000101001 Abades sección 01001;24,4;2,2
10001 Abadía;24,7;1,9
1000101 Abadía distrito 01;24,7;1,9
1000101001 Abadía sección 01001;24,7;1,9
27001 Abadín;22,7;2
2700101 Abadín distrito 01;22,7;2
2700101001 Abadín sección 01001;24;2
2700101002 Abadín sección 01002;21,4;2
2700101003 Abadín sección 01003;22,2;2
48001 Abadiño;24,8;2,1
4800101 Abadiño distrito 01;24,8;2,1
4800101001 Abadiño sección 01001;26,7;2,1
4800101002 Abadiño sección 01002;24,4;2,1
4800101003 Abadiño sección 01003;27,8;2,4
4800101004 Abadiño sección 01004;23;2
4800101005 Abadiño sección 01005;22,4;1,9
31001 Abáigar;;
3100101 Abáigar distrito 01;;
3100101001 Abáigar sección 01001;;
09001 Abajas;.;.
0900101 Abajas distrito 01;.;.
0900101001 Abajas sección 01001;.;.
26001 Ábalos;32,2;3
2600101 Ábalos distrito 01;32,2;3
2600101001 Ábalos sección 01001;32,2;3
20001 Abaltzisketa;24,7;1,8
2000101 Abaltzisketa distrito 01;24,7;1,8
2000101001 Abaltzisketa sección 01001;24,7;1,8
19001 Abánades;.;.
1900101 Abánades distrito 01;.;.
1900101001 Abánades sección 01001;.;.
30001 Abanilla;28,3;2,4
3000101 Abanilla distrito 01;29,3;2,5
3000101001 Abanilla sección 01001;28,9;2,4
3000101002 Abanilla sección 01002;29,5;2,4
3000101003 Abanilla sección 01003;28,7;2,4
3000102 Abanilla distrito 02;26,9;2,2
3000102001 Abanilla sección 02001;27,2;2,1
3000102002 Abanilla sección 02002;27,7;2,1
3000102003 Abanilla sección 02003;24,6;2,1
50001 Abanto;.;.
5000101 Abanto distrito 01;.;.
5000101001 Abanto sección 01001;.;.
48002 Abanto y Ciérvana-Abanto Zierbena;27,8;2,4
4800201 Abanto y Ciérvana-Abanto Zierbena distrito 01;27,5;2,4
4800201001 Abanto y Ciérvana-Abanto Zierbena sección 01001;28,3;2,5
4800201002 Abanto y Ciérvana-Abanto Zierbena sección 01002;29,1;2,5
4800201004 Abanto y Ciérvana-Abanto Zierbena sección 01004;28,7;2,6
4800201005 Abanto y Ciérvana-Abanto Zierbena sección 01005;24;2,1
4800202 Abanto y Ciérvana-Abanto Zierbena distrito 02;27,9;2,5
4800202001 Abanto y Ciérvana-Abanto Zierbena sección 02001;26;2,2
4800202002 Abanto y Ciérvana-Abanto Zierbena sección 02002;30,6;2,7
4800202003 Abanto y Ciérvana-Abanto Zierbena sección 02003;27,4;2,4
30002 Abarán;27,8;2,3
3000201 Abarán distrito 01;27,8;2,3
3000201001 Abarán sección 01001;25,5;2,1
3000201002 Abarán sección 01002;27,3;2,3
3000201003 Abarán sección 01003;31,4;2,6
3000201004 Abarán sección 01004;23,1;1,9
3000201005 Abarán sección 01005;30,1;2,3
3000201006 Abarán sección 01006;25,2;2,1
3000201007 Abarán sección 01007;26;2
3000201008 Abarán sección 01008;30,3;2,7
3000201009 Abarán sección 01009;25,5;2,3
3000201010 Abarán sección 01010;23,9;2
3000201011 Abarán sección 01011;35;2,4
3000201012 Abarán sección 01012;30,9;2,5
