location_raw;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Tamaño medio del hogar;Porcentaje de hogares unipersonales;Población
44001 Ababuj;.;.;.;.;.;.
4400101 Ababuj distrito 01;.;.;.;.;.;.
4400101001 Ababuj sección 01001;.;.;.;.;.;.
40001 Abades;45,3;16,5;24,6;2,52;27,2;835
4000101 Abades distrito 01;45,3;16,5;24,6;2,52;27,2;835
4000101001 Abades sección 01001;45,3;16,5;24,6;2,52;27,2;835
10001 Abadía;46,1;14,5;27,2;2,25;36,1;331
1000101 Abadía distrito 01;46,1;14,5;27,2;2,25;36,1;331
1000101001 Abadía sección 01001;46,1;14,5;27,2;2,25;36,1;331
27001 Abadín;56,5;6;40,9;2,29;34,3;2.367
2700101 Abadín distrito 01;56,8;6;41,6;2,29;34,3;2.367
2700101001 Abadín sección 01001;54,9;7,1;39,2;2,3;30,2;756
2700101002 Abadín sección 01002;57;5,5;43,2;2,29;37,2;615
2700101003 Abadín sección 01003;57;5,5;43,2;2,28;35,7;996
48001 Abadiño;42,9;19;19,6;2,52;24,1;7.560
4800101 Abadiño distrito 01;42,9;19;19,6;2,52;24,1;7.560
4800101001 Abadiño sección 01001;39,6;22,7;14,5;2,58;28,7;1.514
4800101002 Abadiño sección 01002;48,7;14,8;31,6;2,38;23,3;1.204
4800101003 Abadiño sección 01003;46;15,5;25;2,43;24,1;1.128
4800101004 Abadiño sección 01004;37,4;23,7;10,1;2,54;27,1;2.011
4800101005 Abadiño sección 01005;46,1;15,3;23,2;2,61;16,9;1.703
31001 Abáigar;.;.;.;.;.;.
3100101 Abáigar distrito 01;.;.;.;.;.;.
3100101001 Abáigar sección 01001;.;.;.;.;.;.
09001 Abajas;.;.;.;.;.;.
0900101 Abajas distrito 01;.;.;.;.;.;.
0900101001 Abajas sección 01001;.;.;.;.;.;.
26001 Ábalos;48,6;14,4;25,7;2,25;44,7;257
2600101 Ábalos distrito 01;48,6;14,4;25,7;2,25;44,7;257
2600101001 Ábalos sección 01001;48,6;14,4;25,7;2,25;44,7;257
20001 Abaltzisketa;42,5;20,2;18,6;2,92;24,8;307
2000101 Abaltzisketa distrito 01;42,5;20,2;18,6;2,92;24,8;307
2000101001 Abaltzisketa sección 01001;42,5;20,2;18,6;2,92;24,8;307
19001 Abánades;.;.;.;.;.;.
1900101 Abánades distrito 01;.;.;.;.;.;.
1900101001 Abánades sección 01001;.;.;.;.;.;.
30001 Abanilla;46,3;15,8;25,9;2,48;29;5.970
3000101 Abanilla distrito 01;43,4;18,9;21,5;2,62;27,1;3.124
3000101001 Abanilla sección 01001;45,6;17,2;24,6;2,48;30,9;1.100
3000101002 Abanilla sección 01002;39,3;23,2;16,5;2,83;23,4;1.319
3000101003 Abanilla sección 01003;47,6;13,5;26,2;2,5;27,3;705
3000102 Abanilla distrito 02;49,5;12,4;30,7;2,35;30,8;2.846
3000102001 Abanilla sección 02001;51,1;10,7;33,1;2,25;32,4;1.123
3000102002 Abanilla sección 02002;50,4;11,2;32,4;2,28;29,6;972
3000102003 Abanilla sección 02003;46;16,4;24,9;2,62;30;751
50001 Abanto;.;.;.;.;.;.
5000101 Abanto distrito 01;.;.;.;.;.;.
5000101001 Abanto sección 01001;.;.;.;.;.;.
