location_raw;Renta neta media por persona ;Renta neta media por hogar;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar
44001 Ababuj;.;.;.;.;.;.
4400101 Ababuj distrito 01;.;.;.;.;.;.
4400101001 Ababuj sección 01001;.;.;.;.;.;.
40001 Abades;10.731;27.120;16.175;15.050;12.155;30.720
4000101 Abades distrito 01;10.731;27.120;16.175;15.050;12.155;30.720
4000101001 Abades sección 01001;10.731;27.120;16.175;15.050;12.155;30.720
10001 Abadía;8.589;19.340;12.452;11.550;9.485;21.358
1000101 Abadía distrito 01;8.589;19.340;12.452;11.550;9.485;21.358
1000101001 Abadía sección 01001;8.589;19.340;12.452;11.550;9.485;21.358
27001 Abadín;10.258;23.535;14.776;13.650;11.251;25.811
2700101 Abadín distrito 01;10.258;23.535;14.776;13.650;11.251;25.811
2700101001 Abadín sección 01001;10.467;24.210;15.168;14.350;11.583;26.789
2700101002 Abadín sección 01002;10.027;22.924;14.391;12.950;10.881;24.876
2700101003 Abadín sección 01003;10.243;23.406;14.718;13.650;11.228;25.656
48001 Abadiño;14.975;37.713;22.392;20.650;17.780;44.776
4800101 Abadiño distrito 01;14.975;37.713;22.392;20.650;17.780;44.776
4800101001 Abadiño sección 01001;16.325;42.176;24.771;22.750;19.915;51.452
4800101002 Abadiño sección 01002;14.042;33.411;20.635;19.950;16.319;38.830
4800101003 Abadiño sección 01003;12.496;30.377;18.457;17.850;14.368;34.930
4800101004 Abadiño sección 01004;15.095;38.280;22.570;22.050;18.000;45.647
4800101005 Abadiño sección 01005;15.937;41.563;23.917;21.350;18.916;49.332
31001 Abáigar;.;.;;;;
3100101 Abáigar distrito 01;.;.;;;;
3100101001 Abáigar sección 01001;.;.;;;;
09001 Abajas;.;.;.;.;.;.
0900101 Abajas distrito 01;.;.;.;.;.;.
0900101001 Abajas sección 01001;.;.;.;.;.;.
26001 Ábalos;11.153;25.521;16.279;15.050;12.865;29.439
2600101 Ábalos distrito 01;11.153;25.521;16.279;15.050;12.865;29.439
2600101001 Ábalos sección 01001;11.153;25.521;16.279;15.050;12.865;29.439
20001 Abaltzisketa;16.230;47.454;25.167;22.050;19.366;56.621
2000101 Abaltzisketa distrito 01;16.230;47.454;25.167;22.050;19.366;56.621
2000101001 Abaltzisketa sección 01001;16.230;47.454;25.167;22.050;19.366;56.621
19001 Abánades;.;.;.;.;.;.
1900101 Abánades distrito 01;.;.;.;.;.;.
1900101001 Abánades sección 01001;.;.;.;.;.;.
30001 Abanilla;9.415;23.756;14.137;12.950;10.617;26.790
3000101 Abanilla distrito 01;9.720;25.671;14.732;13.650;11.120;29.369
3000101001 Abanilla sección 01001;8.986;22.413;13.316;12.250;10.069;25.115
3000101002 Abanilla sección 01002;9.845;28.109;15.426;13.650;11.412;32.584
3000101003 Abanilla sección 01003;10.635;26.799;15.637;14.350;12.218;30.788
3000102 Abanilla distrito 02;9.067;21.772;13.450;12.950;10.044;24.117
3000102001 Abanilla sección 02001;8.959;20.503;12.895;12.250;9.886;22.623
3000102002 Abanilla sección 02002;8.675;20.406;13.000;12.250;9.492;22.328
3000102003 Abanilla sección 02003;9.711;25.848;14.796;14.350;10.959;29.171
50001 Abanto;.;.;.;.;.;.
5000101 Abanto distrito 01;.;.;.;.;.;.
