,Asalariados,Pensionistas,Desempleados,Prestacionistas,Otros_ingresos,Code,Index_Gini,dist_rent_p80_p20,media_edad,percent_menos_18,percernt_mas_65,tamaño_casa_media,percent_casa_unipersonales,habitantes,Renta neta media por persona ,renta_media_hogar,media_unidad_consumo,mediana_unidad_consumo,renta_bruta_persona,renta_bruta_hogar,viviendas_turisticas,plazas,plaza_vivienda_turistica,percent_vivienda_turistica
1104,11563.0,3878.0,129.0,896.0,8307.0,101,33.4,3.1,44.2,13.3,20.0,2.16,44.8,834.0,18.667,40.783,28.289,23.450,24.774,54.126,71,254,3.6,12.7
1105,11842.0,3345.0,227.0,960.0,6772.0,102,41.1,3.7,43.6,15.6,18.0,2.24,41.1,1006.0,17.846,41.173,26.577,22.050,23.147,53.403,77,278,3.6,7.9
1106,13049.0,4399.0,137.0,940.0,7623.0,103,36.6,3.0,45.1,13.9,22.9,2.16,43.0,966.0,19.706,43.316,29.354,24.150,26.148,57.476,28,108,3.9,3.5
1107,10352.0,4475.0,210.0,743.0,11276.0,105,38.8,3.8,44.0,15.6,21.8,2.32,41.4,1058.0,19.957,48.357,30.462,22.750,27.057,65.560,31,155,5.0,4.0
1108,16825.0,4645.0,185.0,749.0,16536.0,107,45.6,3.8,45.7,13.6,23.6,2.11,43.6,742.0,31.141,66.783,48.737,27.650,45.362,97.282,37,175,4.7,7.0
1109,11548.0,4130.0,272.0,693.0,10844.0,108,45.6,4.1,43.9,15.1,19.6,2.26,39.8,941.0,20.318,46.200,30.136,20.650,27.487,62.503,28,100,3.6,3.2
1110,12256.0,6363.0,103.0,755.0,16536.0,109,43.7,3.7,47.3,17.9,28.2,2.71,27.2,1018.0,29.941,82.981,47.115,35.350,42.785,118.580,14,51,3.6,2.8
1111,10731.0,3066.0,278.0,617.0,10605.0,100,38.3,3.9,44.5,11.7,18.7,2.1,42.8,1007.0,19.984,42.416,30.790,16.450,25.298,53.697,64,245,3.8,11.5
1112,10333.0,3350.0,239.0,493.0,2401.0,101,35.4,3.2,43.1,13.8,17.1,1.99,47.4,1337.0,13.571,27.540,19.201,15.750,16.816,34.125,90,319,3.5,9.6
1113,10713.0,1891.0,305.0,388.0,2769.0,102,32.6,3.2,41.6,12.4,12.3,2.01,41.9,800.0,13.207,26.899,18.400,15.750,16.066,32.722,35,137,3.9,5.2
1114,10801.0,4694.0,182.0,514.0,3356.0,103,31.5,2.8,46.4,14.7,24.4,2.22,37.3,1361.0,15.802,35.437,22.690,19.950,19.547,43.836,15,51,3.4,2.9
