,business_status,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,type,coddistsec,subtypes
0,OPERATIONAL,IES Cid Campeador,4.2,"['secondary_school', 'school', 'point_of_interest', 'establishment']",25.0,39.4655803,-0.3995238,education,0725,secondary_school
1,OPERATIONAL,Centro Específico de Educación a Distancia de la Comunidad Valenciana - CEEDCV,3.8,"['secondary_school', 'school', 'point_of_interest', 'establishment']",65.0,39.464628999999995,-0.411091,education,0737,secondary_school
2,OPERATIONAL,MEDAC Valencia - Formación Profesional,4.1,"['university', 'point_of_interest', 'establishment']",26.0,39.4588059,-0.4053762,education,0824,university
3,OPERATIONAL,CEEDCV (Edificio Berenguer),3.3,"['school', 'point_of_interest', 'establishment']",4.0,39.4665214,-0.4088213,education,0738,school
4,OPERATIONAL,"CENTRO ALZIRA - VALENCIA ""FRANCISCO TOMÁS Y VALIENTE"" DE LA UNED",4.0,"['university', 'point_of_interest', 'establishment']",79.0,39.46462959999999,-0.4116374,education,0737,university
8,OPERATIONAL,Centro Integrado Público Formación Profesional en INFORMÁTICA Ausiàs March en Valencia,3.6,"['point_of_interest', 'establishment']",126.0,39.448037400000004,-0.3683367,education,1030,point_of_interest
12,OPERATIONAL,Institut Superior de Formació Professional Sanitària Claudi Galeno València,4.7,"['point_of_interest', 'establishment']",268.0,39.482336600000004,-0.38821659999999997,education,0401,point_of_interest
14,OPERATIONAL,IES Lluís Vives,4.4,"['secondary_school', 'school', 'point_of_interest', 'establishment']",48.0,39.4684333,-0.377866,education,0133,secondary_school
15,OPERATIONAL,Instituto INTER,4.2,"['point_of_interest', 'establishment']",51.0,39.461943,-0.3805922,education,0333,point_of_interest
16,OPERATIONAL,Barreira A+D - Centro Oficial de Estudios Superiores,3.5,"['point_of_interest', 'establishment']",75.0,39.475271,-0.3895732000000001,education,0321,point_of_interest
17,OPERATIONAL,Centre de Formació Professional Xabec,4.9,"['school', 'point_of_interest', 'establishment']",70.0,39.4951711,-0.3675473,education,1533,school
18,OPERATIONAL,"Escola Sant Josep, Jesuïtes",4.1,"['school', 'point_of_interest', 'establishment']",85.0,39.4862653,-0.39787100000000003,education,0418,school
20,OPERATIONAL,Instituto INTER,4.8,"['point_of_interest', 'establishment']",10.0,39.4612669,-0.38241379999999997,education,0333,point_of_interest
21,OPERATIONAL,Colegio Diocesano San Roque,4.3,"['secondary_school', 'school', 'point_of_interest', 'establishment']",22.0,39.4908615,-0.39052600000000004,education,1611,secondary_school
22,OPERATIONAL,Escuela Internacional de Protocolo de Valencia,5.0,"['university', 'point_of_interest', 'establishment']",7.0,39.461127600000005,-0.3879718,education,0807,university
23,OPERATIONAL,IES Sorolla,3.5,"['secondary_school', 'school', 'point_of_interest', 'establishment']",34.0,39.467336100000004,-0.33833409999999997,education,1301,secondary_school
24,OPERATIONAL,Instituto Técnico Profesional PAX,4.4,"['point_of_interest', 'establishment']",62.0,39.47208029999999,-0.38472280000000003,education,0302,point_of_interest
25,OPERATIONAL,Centro de Formación Profesional Rodrigo Giorgeta,4.9,"['point_of_interest', 'establishment']",73.0,39.460156700000006,-0.3874225,education,0903,point_of_interest
26,OPERATIONAL,Instituto INTER,3.7,"['point_of_interest', 'establishment']",42.0,39.4640032,-0.38435759999999997,education,0344,point_of_interest
27,OPERATIONAL,Colegio Santo Tomás De Villanueva - PP Agustinos,3.4,"['school', 'point_of_interest', 'establishment']",40.0,39.464977399999995,-0.3825884,education,0338,school
28,OPERATIONAL,CAPITOL - Centro de Formación Profesional,4.3,"['point_of_interest', 'establishment']",108.0,39.467698299999995,-0.3760056000000001,education,0132,point_of_interest
30,OPERATIONAL,ISEP Valencia,4.6,"['school', 'point_of_interest', 'establishment']",16.0,39.46446419999999,-0.3886862,education,0833,school
31,OPERATIONAL,EASD,3.6,"['school', 'point_of_interest', 'establishment']",73.0,39.474757000000004,-0.3826383,education,0119,school
32,OPERATIONAL,Col·legi Pïus XII,3.9,"['school', 'point_of_interest', 'establishment']",46.0,39.4806885,-0.3713884,education,0528,school
33,OPERATIONAL,Centro De Formación Altaviana,4.2,"['university', 'point_of_interest', 'establishment']",80.0,39.4776342,-0.3561607,education,0624,university
34,OPERATIONAL,CEF,4.1,"['university', 'point_of_interest', 'establishment']",42.0,39.482361700000006,-0.3705381,education,0527,university
35,OPERATIONAL,IES Serpis,3.2,"['secondary_school', 'school', 'point_of_interest', 'establishment']",58.0,39.473510600000004,-0.3382437,education,1325,secondary_school
36,OPERATIONAL,Centro Concertado de Enseñanza Escolapias Valencia,4.4,"['school', 'point_of_interest', 'establishment']",36.0,39.471010299999996,-0.3858455,education,0349,school
38,OPERATIONAL,Colegio Gran Asociación,3.9,"['school', 'point_of_interest', 'establishment']",24.0,39.4799698,-0.37786040000000004,education,0110,school
40,OPERATIONAL,Colegio Ruzafa,4.0,"['school', 'point_of_interest', 'establishment']",8.0,39.464238200000004,-0.37325240000000004,education,0214,school
42,CLOSED_TEMPORARILY,Instituto Inter,0.0,"['point_of_interest', 'establishment']",0.0,39.4717498,-0.3765094,education,0128,point_of_interest
