,name,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,type,coddistsec,subtypes
0,Parvulario El Belén,0.0,0,39.462611200000005,-0.3820577,education,0336,school
1,Centro Privado de Educación Infantil Bambini,3.9,7,39.4709818,-0.38383979999999995,education,0301,school
2,Centro Educación Infantil Bambini 2,4.9,10,39.460225200000004,-0.36857399999999996,education,0221,school
20,The English School,0.0,0,39.4726033,-0.4056201,education,0710,school
21,Escuela 2,0.0,0,39.478441,-0.401845,education,0419,school
22,Colegio,0.0,0,39.471311,-0.40860830000000004,education,0722,school
24,British School of Valencia,3.3,38,39.4582314,-0.3752251,education,0232,school
25,Colegio señora de Fátima,0.0,0,39.4603502,-0.4026938,education,0824,school
28,Escuela Infantil Nemomarlin Nou Moles,5.0,4,39.47318920000001,-0.3975519,education,0702,school
29,Colegio Santa María,4.6,16,39.46624620000001,-0.40661909999999996,education,0736,school
30,Escuela Infantil Baby Donald,5.0,1,39.4687787,-0.4150473,education,0740,school
31,Valencia Montessori School,4.1,50,39.4784615,-0.4073792,education,0419,school
34,Escuela Infantil Mini Poli,0.0,0,39.4677376,-0.3997226,education,0725,school
36,Escuela Inma,0.0,0,39.462756799999994,-0.39223620000000003,education,0811,school
38,Escola Infantil,0.0,0,39.45149489999999,-0.3927024,education,0919,school
39,Centro Privado De Educación Infantil De Primer Ciclo Fantasy School,3.6,5,39.4869326,-0.3864094,education,0505,school
40,Escuela Infantil Rainbow,0.0,0,39.466258399999994,-0.392225,education,0805,school
41,Escuela náutica velacharter,0.0,0,39.4600675,-0.3871671,education,0903,school
42,Centro Privado de Educación Infantil Virgen de Cortes 2,4.9,9,39.453319799999996,-0.3902493,education,0923,school
43,Escuela Infantil El Castillo,4.6,5,39.469738,-0.38652600000000004,education,0349,school
44,Colegio Oficial De Ingenieros Técnicos Forestales,0.0,0,39.4651275,-0.3904342,education,0803,school
45,Escuela Maquillaje MG,0.0,0,39.462451200000004,-0.3888938,education,0840,school
46,Escuela Infantil Concha Espina,4.0,2,39.453307,-0.3885699,education,0923,school
47,ILE Spanish School,5.0,53,39.4684154,-0.34077179999999996,education,1303,school
48,ESCUELA INFANTIL BAMBINOS,4.9,146,39.45342670000001,-0.38761940000000006,education,0916,school
49,Centro de Educación Infantil 0-3 años Febes,5.0,6,39.4595998,-0.3972403,education,0829,school
50,La Aurora 2 International School,0.0,0,39.4619649,-0.3839437,education,0337,school
51,ESCOLA INFANTIL MUNICIPAL SOLC,4.3,4,39.4639458,-0.40177379999999996,education,0732,school
52,Escuela Infantil El Osito Azul,3.0,2,39.445221200000006,-0.39157470000000005,education,0937,school
53,Globitos,3.7,3,39.4443785,-0.389832,education,0933,school
54,Colegio Academia Jardin Centro De Estudios Concertado,0.0,0,39.4511501,-0.3776932,education,1028,school
55,Escuela Infantil Ruzafa Montessori,5.0,1,39.4598549,-0.3759573,education,0231,school
56,Escuela Infantil Mariposas,5.0,3,39.4528278,-0.373332,education,1026,school
57,SALIDA COLEGIO RAFAEL MATEU CAMARA,4.0,1,39.4544416,-0.37794120000000003,education,1047,school
58,Escuela Infantil Natura,5.0,5,39.456579,-0.38533890000000004,education,0909,school
59,Escuela Infantil Sacapuntas sin Cortes ni Puntas,5.0,6,39.457894,-0.37151100000000004,education,1013,school
60,Escuela Valenciana de Estudios de la Salud,3.3,7,39.454303499999995,-0.3940898,education,0832,school
61,ESCUELA INFANTIL GIORGETA S.L.,4.9,14,39.46033,-0.38511,education,0347,school
62,Colegio Martí Sorolla II,4.6,14,39.4540985,-0.377279,education,1023,school
63,Cotó School for Kids,3.0,2,39.4853324,-0.3716205,education,0519,school
64,Escuela Infantil El Valle,5.0,11,39.4798417,-0.3970232,education,0406,school
65,escuela pastoral educativa,0.0,0,39.4759094,-0.3885856,education,0307,school
66,Real Colegio de las Escuelas Pías (PP. Escolapios),4.3,50,39.4738865,-0.382311,education,0120,school
67,EASD,3.6,73,39.474757000000004,-0.3826383,education,0119,school
68,GLOSS MAKE UP SCHOOL,5.0,26,39.4704427,-0.3843222,education,0301,school
