CODIGO;VIVIENDA TURISTICA;PLAZAS;PLAZA POR VIVIENDA TURISTICA;PORCENTAJE VIVIENDA TURISTICA;PROV;PROV_LITERAL;MUN;MUN_LITERAL
0100101001;1;9;9,0;0,1;01;Araba/Álava;01001;Alegría-Dulantzi
0100101002;2;5;2,5;0,5;01;Araba/Álava;01001;Alegría-Dulantzi
0100201001;3;21;7,0;0,4;01;Araba/Álava;01002;Amurrio
0100201002;2;12;6,0;0,4;01;Araba/Álava;01002;Amurrio
0100201003;2;9;4,5;0,4;01;Araba/Álava;01002;Amurrio
0100201004;0;0;;0,0;01;Araba/Álava;01002;Amurrio
0100201005;0;0;;0,0;01;Araba/Álava;01002;Amurrio
0100201006;0;0;;0,0;01;Araba/Álava;01002;Amurrio
0100201007;0;0;;0,0;01;Araba/Álava;01002;Amurrio
0100301001;0;0;;0,0;01;Araba/Álava;01003;Aramaio
0100401001;5;32;6,4;0,4;01;Araba/Álava;01004;Artziniega
0100601001;2;14;7,0;1,3;01;Araba/Álava;01006;Armiñón
0100801001;2;8;4,0;0,4;01;Araba/Álava;01008;Arrazua-Ubarrundia
0100901001;1;8;8,0;0,1;01;Araba/Álava;01009;Asparrena
0101001001;8;56;7,0;1,1;01;Araba/Álava;01010;Ayala/Aiara
0101001002;0;0;;0,0;01;Araba/Álava;01010;Ayala/Aiara
0101101001;0;0;;0,0;01;Araba/Álava;01011;Baños de Ebro/Mañueta
0101301001;1;3;3,0;0,2;01;Araba/Álava;01013;Barrundia
0101401001;0;0;;0,0;01;Araba/Álava;01014;Berantevilla
0101601001;2;19;9,5;0,4;01;Araba/Álava;01016;Bernedo
0101701001;3;24;8,0;0,3;01;Araba/Álava;01017;Campezo/Kanpezu
0101801001;8;48;6,0;0,9;01;Araba/Álava;01018;Zigoitia
0101901001;0;0;;0,0;01;Araba/Álava;01019;Kripan
0102001001;5;17;3,4;1,5;01;Araba/Álava;01020;Kuartango
0102101001;3;9;3,0;1,2;01;Araba/Álava;01021;Elburgo/Burgelu
0102201001;5;29;5,8;0,7;01;Araba/Álava;01022;Elciego
0102301001;1;6;6,0;0,4;01;Araba/Álava;01023;Elvillar/Bilar
0102701001;2;10;5,0;0,8;01;Araba/Álava;01027;Iruraiz-Gauna
0102801001;5;36;7,2;0,3;01;Araba/Álava;01028;Labastida/Bastida
0103001001;0;0;;0,0;01;Araba/Álava;01030;Lagrán
0103101001;17;110;6,5;1,3;01;Araba/Álava;01031;Laguardia
0103201001;10;90;9,0;1,7;01;Araba/Álava;01032;Lanciego/Lantziego
0103301001;8;57;7,1;1,5;01;Araba/Álava;01033;Lapuebla de Labarca
0103401001;1;12;12,0;0,4;01;Araba/Álava;01034;Leza
0103601001;0;0;;0,0;01;Araba/Álava;01036;Laudio/Llodio
0103601002;0;0;;0,0;01;Araba/Álava;01036;Laudio/Llodio
0103601003;0;0;;0,0;01;Araba/Álava;01036;Laudio/Llodio
0103601004;0;0;;0,0;01;Araba/Álava;01036;Laudio/Llodio
0103601005;1;2;2,0;0,1;01;Araba/Álava;01036;Laudio/Llodio
0103601006;0;0;;0,0;01;Araba/Álava;01036;Laudio/Llodio
0103601007;0;0;;0,0;01;Araba/Álava;01036;Laudio/Llodio
0103601008;0;0;;0,0;01;Araba/Álava;01036;Laudio/Llodio
0103601009;1;8;8,0;0,2;01;Araba/Álava;01036;Laudio/Llodio
0103601010;0;0;;0,0;01;Araba/Álava;01036;Laudio/Llodio
0103601011;0;0;;0,0;01;Araba/Álava;01036;Laudio/Llodio
0103601012;0;0;;0,0;01;Araba/Álava;01036;Laudio/Llodio
0103601013;0;0;;0,0;01;Araba/Álava;01036;Laudio/Llodio
0103701001;6;39;6,5;1,0;01;Araba/Álava;01037;Arraia-Maeztu
0103901001;1;8;8,0;0,5;01;Araba/Álava;01039;Moreda de Álava
0104101001;0;0;;0,0;01;Araba/Álava;01041;Navaridas
0104201001;0;0;;0,0;01;Araba/Álava;01042;Okondo
0104301001;1;2;2,0;0,1;01;Araba/Álava;01043;Oyón-Oion
0104301002;3;11;3,7;0,3;01;Araba/Álava;01043;Oyón-Oion
0104401001;1;4;4,0;0,3;01;Araba/Álava;01044;Peñacerrada-Urizaharra
0104601001;3;17;5,7;0,3;01;Araba/Álava;01046;Erriberagoitia/Ribera Alta
0104701001;7;27;3,9;1,1;01;Araba/Álava;01047;Ribera Baja/Erribera Beitia
0104901001;5;47;9,4;2,4;01;Araba/Álava;01049;Añana
0105101001;0;0;;0,0;01;Araba/Álava;01051;Salvatierra/Agurain
0105101002;0;0;;0,0;01;Araba/Álava;01051;Salvatierra/Agurain
