,Unnamed: 0,name,rating,user_ratings_total,laundry_lat,laundry_lng,coddistsec,isochrone_1m,isochrone_3m,isochrone_5m,isochrone_7m,isochrone_10m
0,0,LAVAHOME,4.1,39,39.468615500000006,-0.3860922,348,"[[[39.468616, -0.385592], [39.468115, -0.386092], [39.468616, -0.386592], [39.469116, -0.386092], [39.468616, -0.385592]]]","[[[39.468616, -0.385342], [39.467865, -0.386092], [39.468616, -0.386842], [39.469366, -0.386092], [39.468616, -0.385342]]]","[[[39.468616, -0.385259], [39.467949, -0.385426], [39.467782, -0.386092], [39.467949, -0.386759], [39.468616, -0.386926], [39.469282, -0.386759], [39.469449, -0.386092], [39.469282, -0.385426], [39.468616, -0.385259]]]","[[[39.468616, -0.385217], [39.467865, -0.385342], [39.467865, -0.386842], [39.469366, -0.386842], [39.469366, -0.385342], [39.468616, -0.385217]]]","[[[39.468616, -0.385183], [39.467797, -0.385274], [39.467797, -0.38691], [39.469434, -0.38691], [39.469434, -0.385274], [39.468616, -0.385183]]]"
1,1,Lavandería Autoservicio Rapiddo,4.3,49,39.477481700000006,-0.4185247,0,"[[[39.477482, -0.418025], [39.476982, -0.418525], [39.477482, -0.419025], [39.477982, -0.418525], [39.477482, -0.418025]]]","[[[39.477482, -0.417775], [39.476732, -0.418525], [39.477482, -0.419275], [39.478232, -0.418525], [39.477482, -0.417775]]]","[[[39.477482, -0.417691], [39.476815, -0.417858], [39.476648, -0.418525], [39.476815, -0.419191], [39.477482, -0.419358], [39.478148, -0.419191], [39.478315, -0.418525], [39.478148, -0.417858], [39.477482, -0.417691]]]","[[[39.477482, -0.41765], [39.476732, -0.417775], [39.476732, -0.419275], [39.478232, -0.419275], [39.478232, -0.417775], [39.477482, -0.41765]]]","[[[39.477482, -0.417616], [39.476664, -0.417707], [39.476664, -0.419343], [39.4783, -0.419343], [39.4783, -0.417707], [39.477482, -0.417616]]]"
2,2,La Colada Benicalap,4.0,67,39.487423,-0.3934829,1619,"[[[39.487423, -0.392983], [39.486923, -0.393483], [39.487423, -0.393983], [39.487923, -0.393483], [39.487423, -0.392983]]]","[[[39.487423, -0.392733], [39.486673, -0.393483], [39.487423, -0.394233], [39.488173, -0.393483], [39.487423, -0.392733]]]","[[[39.487423, -0.39265], [39.486756, -0.392816], [39.48659, -0.393483], [39.486756, -0.39415], [39.487423, -0.394316], [39.48809, -0.39415], [39.488256, -0.393483], [39.48809, -0.392816], [39.487423, -0.39265]]]","[[[39.487423, -0.392608], [39.486673, -0.392733], [39.486673, -0.394233], [39.488173, -0.394233], [39.488173, -0.392733], [39.487423, -0.392608]]]","[[[39.487423, -0.392574], [39.486605, -0.392665], [39.486605, -0.394301], [39.488241, -0.394301], [39.488241, -0.392665], [39.487423, -0.392574]]]"
3,3,Bugadry • Valencia,4.5,33,39.462688799999995,-0.389336,840,"[[[39.462689, -0.388836], [39.462189, -0.389336], [39.462689, -0.389836], [39.463189, -0.389336], [39.462689, -0.388836]]]","[[[39.462689, -0.388586], [39.461939, -0.389336], [39.462689, -0.390086], [39.463439, -0.389336], [39.462689, -0.388586]]]","[[[39.462689, -0.388503], [39.462022, -0.388669], [39.461855, -0.389336], [39.462022, -0.390003], [39.462689, -0.390169], [39.463355, -0.390003], [39.463522, -0.389336], [39.463355, -0.388669], [39.462689, -0.388503]]]","[[[39.462689, -0.388461], [39.461939, -0.388586], [39.461939, -0.390086], [39.463439, -0.390086], [39.463439, -0.388586], [39.462689, -0.388461]]]","[[[39.462689, -0.388427], [39.461871, -0.388518], [39.461871, -0.390154], [39.463507, -0.390154], [39.463507, -0.388518], [39.462689, -0.388427]]]"
4,4,Lavanderia Autoservicio,4.3,49,39.46065,-0.39039959999999996,814,"[[[39.46065, -0.3899], [39.46015, -0.3904], [39.46065, -0.3909], [39.46115, -0.3904], [39.46065, -0.3899]]]","[[[39.46065, -0.38965], [39.4599, -0.3904], [39.46065, -0.39115], [39.4614, -0.3904], [39.46065, -0.38965]]]","[[[39.46065, -0.389566], [39.459983, -0.389733], [39.459817, -0.3904], [39.459983, -0.391066], [39.46065, -0.391233], [39.461317, -0.391066], [39.461483, -0.3904], [39.461317, -0.389733], [39.46065, -0.389566]]]","[[[39.46065, -0.389525], [39.4599, -0.38965], [39.4599, -0.39115], [39.4614, -0.39115], [39.4614, -0.38965], [39.46065, -0.389525]]]","[[[39.46065, -0.389491], [39.459832, -0.389581], [39.459832, -0.391218], [39.461468, -0.391218], [39.461468, -0.389581], [39.46065, -0.389491]]]"
5,5,Lavanderia CE Colada Expres,4.7,46,39.4604514,-0.36562490000000003,1012,"[[[39.460451, -0.365125], [39.459951, -0.365625], [39.460451, -0.366125], [39.460951, -0.365625], [39.460451, -0.365125]]]","[[[39.460451, -0.364875], [39.459701, -0.365625], [39.460451, -0.366375], [39.461201, -0.365625], [39.460451, -0.364875]]]","[[[39.460451, -0.364792], [39.459785, -0.364958], [39.459618, -0.365625], [39.459785, -0.366292], [39.460451, -0.366458], [39.461118, -0.366292], [39.461285, -0.365625], [39.461118, -0.364958], [39.460451, -0.364792]]]","[[[39.460451, -0.36475], [39.459701, -0.364875], [39.459701, -0.366375], [39.461201, -0.366375], [39.461201, -0.364875], [39.460451, -0.36475]]]","[[[39.460451, -0.364716], [39.459633, -0.364807], [39.459633, -0.366443], [39.46127, -0.366443], [39.46127, -0.364807], [39.460451, -0.364716]]]"
6,6,Lavandería Autoservicio Lavanda Laundry Justo y Pastor,4.5,42,39.46946500000001,-0.347995,1205,"[[[39.469465, -0.347495], [39.468965, -0.347995], [39.469465, -0.348495], [39.469965, -0.347995], [39.469465, -0.347495]]]","[[[39.469465, -0.347245], [39.468715, -0.347995], [39.469465, -0.348745], [39.470215, -0.347995], [39.469465, -0.347245]]]","[[[39.469465, -0.347162], [39.468798, -0.347328], [39.468632, -0.347995], [39.468798, -0.348662], [39.469465, -0.348828], [39.470132, -0.348662], [39.470298, -0.347995], [39.470132, -0.347328], [39.469465, -0.347162]]]","[[[39.469465, -0.34712], [39.468715, -0.347245], [39.468715, -0.348745], [39.470215, -0.348745], [39.470215, -0.347245], [39.469465, -0.34712]]]","[[[39.469465, -0.347086], [39.468647, -0.347177], [39.468647, -0.348813], [39.470283, -0.348813], [39.470283, -0.347177], [39.469465, -0.347086]]]"
7,7,WASH & GO LAVANDERÍA AUTOSERVICIO,4.4,44,39.4923722,-0.3932723,1612,"[[[39.492372, -0.392772], [39.491872, -0.393272], [39.492372, -0.393772], [39.492872, -0.393272], [39.492372, -0.392772]]]","[[[39.492372, -0.392522], [39.491622, -0.393272], [39.492372, -0.394022], [39.493122, -0.393272], [39.492372, -0.392522]]]","[[[39.492372, -0.392439], [39.491706, -0.392606], [39.491539, -0.393272], [39.491706, -0.393939], [39.492372, -0.394106], [39.493039, -0.393939], [39.493206, -0.393272], [39.493039, -0.392606], [39.492372, -0.392439]]]","[[[39.492372, -0.392397], [39.491622, -0.392522], [39.491622, -0.394022], [39.493122, -0.394022], [39.493122, -0.392522], [39.492372, -0.392397]]]","[[[39.492372, -0.392363], [39.491554, -0.392454], [39.491554, -0.39409], [39.49319, -0.39409], [39.49319, -0.392454], [39.492372, -0.392363]]]"
8,8,Lavandería Autoservicio Open wash Valencia Jesús,4.4,28,39.462551700000006,-0.38612909999999995,335,"[[[39.462552, -0.385629], [39.462052, -0.386129], [39.462552, -0.386629], [39.463052, -0.386129], [39.462552, -0.385629]]]","[[[39.462552, -0.385379], [39.461802, -0.386129], [39.462552, -0.386879], [39.463302, -0.386129], [39.462552, -0.385379]]]","[[[39.462552, -0.385296], [39.461885, -0.385462], [39.461718, -0.386129], [39.461885, -0.386796], [39.462552, -0.386962], [39.463218, -0.386796], [39.463385, -0.386129], [39.463218, -0.385462], [39.462552, -0.385296]]]","[[[39.462552, -0.385254], [39.461802, -0.385379], [39.461802, -0.386879], [39.463302, -0.386879], [39.463302, -0.385379], [39.462552, -0.385254]]]","[[[39.462552, -0.38522], [39.461734, -0.385311], [39.461734, -0.386947], [39.46337, -0.386947], [39.46337, -0.385311], [39.462552, -0.38522]]]"
9,9,The Laundry Room Lavanderías Autoservicio,4.8,48,39.494691700000004,-0.3785937,1521,"[[[39.494692, -0.378094], [39.494192, -0.378594], [39.494692, -0.379094], [39.495192, -0.378594], [39.494692, -0.378094]]]","[[[39.494692, -0.377844], [39.493942, -0.378594], [39.494692, -0.379344], [39.495442, -0.378594], [39.494692, -0.377844]]]","[[[39.494692, -0.37776], [39.494025, -0.377927], [39.493858, -0.378594], [39.494025, -0.37926], [39.494692, -0.379427], [39.495358, -0.37926], [39.495525, -0.378594], [39.495358, -0.377927], [39.494692, -0.37776]]]","[[[39.494692, -0.377719], [39.493942, -0.377844], [39.493942, -0.379344], [39.495442, -0.379344], [39.495442, -0.377844], [39.494692, -0.377719]]]","[[[39.494692, -0.377685], [39.493874, -0.377776], [39.493874, -0.379412], [39.49551, -0.379412], [39.49551, -0.377776], [39.494692, -0.377685]]]"
