,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed
0,OPERATIONAL,"Av. Gregorio Gea, 26, 46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bank-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bank-intl_pinlet,Oficina Banco Santander,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108025588135896513441"">Oficina Banco Santander</a>'], 'photo_reference': 'Aap_uEC3w6Q3gS9I6Du75KTNlrzxNscru1gJv56vnwiokDkM0-KmbPnGlegZ6QwCUlQKRGcxWSh4CM93TbUhQzcldQclCjEd_JadmYUx7ai1hDWcQmkI5yJI1a1nAnpzaUauD6LPHZObm_CzUndOKYXfZJPoFL5Oz1OdJkwXkWdje4zA-C1r', 'width': 1280}]",ChIJXzCn8pxPYA0R7SI3DQtRS9g,2.3,ChIJXzCn8pxPYA0R7SI3DQtRS9g,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21,39.4733215,-0.4157464,39.47467132989271,-0.4143965701072777,39.47197167010727,-0.4170962298927222,False,FHFM+8P Mislata,8CFXFHFM+8P,
1,OPERATIONAL,"Carrer de Fra Juníper Serra, 64, 46014 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bank-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bank-intl_pinlet,Banco Sabadell,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115105855427933209566"">Banco Sabadell - Oficina de Valencia, Fray Junipero Serra</a>'], 'photo_reference': 'Aap_uEAe-9YcirpN7KYmVGhejK5WDKxgsqF_iYSNH17N7U2vHkpeHN2mjHucKwvy-9DJgDRQve5zxMxCOAdC_Su31zt14S_VtijCFztWRcT0h-gwESwTe_PFAssifQnIzHghFImkOc57izqs7vhBKleATG1h1WsZwPm3cnO0cfNXgSRxKd0q', 'width': 1920}]",ChIJPeaNILhRYA0RcWD2wmw0_mU,1.5,ChIJPeaNILhRYA0RcWD2wmw0_mU,"['bank', 'atm', 'accounting', 'finance', 'point_of_interest', 'establishment']",21,39.4619596,-0.4005333,39.46323682989272,-0.3991527201072778,39.46053717010728,-0.4018523798927222,False,FH6X+QQ Valencia,8CFXFH6X+QQ,
2,OPERATIONAL,"Av. del Cid, 108, 46018 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bank-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bank-intl_pinlet,Bankia - Oficina 6123,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107489630526405396677"">cazalla tenis</a>'], 'photo_reference': 'Aap_uECTVJ2uqdYQQ0fd11MwUG8-ROxVzzbXyITGtn4OAaz1N2tbK6utaETbIbAp_rKWunfqsnzT9OSezstC2i71bWmtkfGcHsLeJw2TvOPT0FbQYpW7Z_FaKdy84oZP2gJTsRgA5eUTweNRIQwYvc57QReVoUtfvu-udxyF6U0IJ8r4YzGy', 'width': 1920}]",ChIJT8cQ00FPYA0RWSWkcuGtfg0,2.1,ChIJT8cQ00FPYA0RWSWkcuGtfg0,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",14,39.4697537,-0.4035614,39.47101762989272,-0.4021411701072777,39.46831797010728,-0.4048408298927222,False,FH9W+WH Valencia,8CFXFH9W+WH,
3,OPERATIONAL,"Carrer d'Emilio Lluch, 10, 46014 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bank-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bank-intl_pinlet,Bankia - Oficina 6529,"[{'height': 1456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116859469562376161448"">Alejandro Sepúlveda Chamizo</a>'], 'photo_reference': 'Aap_uEA4byH9zzI0m_UTrXanIqvMrak5nbena-ytbGxzx7P1POUe9ndfHbsTlk81TNB7Sl9_FHkSCcDxlXB4_xat9iukWjVl4uljraL1inuLIWpUF619TwNzDyV9dtl5hPWp0_I6p6DeWqpIMt4sKr-B096wKm4aJF1U07lzcFSpsipjbmly', 'width': 2592}]",ChIJZ93rhxJPYA0RnCd2IZgPx6M,2.9,ChIJZ93rhxJPYA0RnCd2IZgPx6M,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",11,39.4624313,-0.4024966,39.46379502989272,-0.4010992701072777,39.46109537010728,-0.4037989298927222,False,FH6X+X2 Valencia,8CFXFH6X+X2,
4,OPERATIONAL,"Calle Dr, Carrer d'Emilio Lluch, 1, 46014 Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bank-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bank-intl_pinlet,Oficina Banco Santander,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116377010176464219124"">Oficina Banco Santander</a>'], 'photo_reference': 'Aap_uED0tAIflvGvnQB5mpJp6xAR3cBLtOkQSvS68ZlcFuJUYS6C2v0aD1jC4UFbfUbS2K47qbssmql1tOkJqn-KKFmXqXcd3RLH_b1OV4CYWrGVj3BHDOnXy25P91oOlhvmZya7jRE8ATfda5hPHUukwdTzwKl2Ep_Ikez1J1GOLpgeSq0L', 'width': 1280}]",ChIJgfOQ6BJPYA0R7yaYTWHo3C8,1.7,ChIJgfOQ6BJPYA0R7yaYTWHo3C8,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",9,39.463598,-0.4013973,39.46493552989273,-0.4002764701072778,39.46223587010729,-0.4029761298927222,False,FH7X+CC Valencia,8CFXFH7X+CC,
5,OPERATIONAL,"Calle Eduardo Marquina, 17, 46014 Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bank-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bank-intl_pinlet,Bankia,"[{'height': 3572, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108974196332570990155"">Javier Andrés</a>'], 'photo_reference': 'Aap_uEA3mE_ZdYT4U03PhWSZDD9EqvCezaZE6mmkVad-vjVQApp_sRJ7k2_du6_LodjiN8YTEjQcZs76AGvIVV6mNuMu6GguIGBGyUWv4HJJ4ir9DLy4ZI2h9qDL8cVEi6Q_T2Sv6eo3s_zg-eL_pGs-Pu8HsTrAVKWr8nlrytIfiufJS2y1', 'width': 2679}]",ChIJPaH6dp5PYA0RThfnoTjGvPk,1.9,ChIJPaH6dp5PYA0RThfnoTjGvPk,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",15,39.4698805,-0.4141847,39.47117377989272,-0.4129480701072777,39.46847412010727,-0.4156477298927222,False,FH9P+X8 Valencia,8CFXFH9P+X8,
6,OPERATIONAL,"Avinguda Blasco Ibáñez, 27, 46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bank-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bank-intl_pinlet,Banco Sabadell,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108565639288168900766"">Banco Sabadell - Oficina de Mislata</a>'], 'photo_reference': 'Aap_uEC1UqUXX-J6jnx7vg8Mv0fSoR9z9gmXd94PKpiGzqwij5vlbsnYQM4sPnmHQdvQUnfEDFr7hQmPYZixzrQliMik9iG32SEWS6QqZGuAx2UanVAjAb4DEQ2H1vlhQ-m_rEsPUnj5KX36EvncXRiFT-f7VwBJ0O6doRQnPTpiHKYs_lHr', 'width': 1920}]",ChIJYShEKnZPYA0RIMzUV1NGkYc,1.7,ChIJYShEKnZPYA0RIMzUV1NGkYc,"['bank', 'atm', 'accounting', 'finance', 'point_of_interest', 'establishment']",10,39.472471,-0.4123524,39.47390532989272,-0.4110530201072778,39.47120567010727,-0.4137526798927222,False,FHCQ+X3 Mislata,8CFXFHCQ+X3,
7,OPERATIONAL,"Avinguda Blasco Ibáñez, 33, 46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bank-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bank-intl_pinlet,Bankia - Oficina 9612,,ChIJpVPlmZ1PYA0RrH5QLTIAYFM,2.7,ChIJpVPlmZ1PYA0RrH5QLTIAYFM,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",6,39.4721643,-0.4131912,39.47351327989272,-0.4117903701072778,39.47081362010728,-0.4144900298927222,False,FHCP+VP Mislata,8CFXFHCP+VP,
8,OPERATIONAL,"Carrer de les Barques, 6, 46002 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bank-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bank-intl_pinlet,Banco de España,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113181631526482435170"">Georgi Yakaliev</a>'], 'photo_reference': 'Aap_uEAyC4a0iaruV5Ah6EJhPendz70A0GQKfR3UITbYl0spZp__kV1Dr7cbL8qnDKfv7ssQ-9N-EJP2JCFyTQdQ-9hJjSXHX-LK8oqZDtzPdccYQ__eQNJ5ZZyRO9ApFYP_N5TdppRNPut8DrenAKT4ye0ifnftDZuVZ7ORoSUw-ImkIdUM', 'width': 6000}]",ChIJGSV_VbNIYA0R07cc0mzNstw,3.7,ChIJGSV_VbNIYA0R07cc0mzNstw,"['bank', 'finance', 'point_of_interest', 'establishment']",30,39.470302,-0.374603,39.47171057989272,-0.3732569201072777,39.46901092010728,-0.3759565798927222,False,FJCG+45 Valencia,8CFXFJCG+45,
9,OPERATIONAL,"Carrer del Brasil, 51, 46018 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bank-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bank-intl_pinlet,Oficina Banco Santander,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115379716241077207784"">Oficina Banco Santander</a>'], 'photo_reference': 'Aap_uEABbr3PEf7kKFcNRPgUHZRY4qkqbVvGyqW-9EJZKvaX3OzYfzGKA4xeNa6KJB6BRbpv-K2mA9DLb4rdsWXhoEdFZUuyC4BwTSgTSnOnpSfkqEZQd8j3zb9DbOebFDP6q-JYSElO-81JinMYLMpzLzF1Q3YIIdwPcOoyNk-oGwoNesX-', 'width': 1280}]",ChIJRdDVzm5PYA0RZJdxMGVNR2s,1.9,ChIJRdDVzm5PYA0RZJdxMGVNR2s,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",7,39.4718057,-0.3988243,39.47321812989272,-0.3974830701072778,39.47051847010728,-0.4001827298927223,False,FJC2+PF Valencia,8CFXFJC2+PF,
