,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,photos,opening_hours.open_now,permanently_closed
0,OPERATIONAL,"C. de Sant Vicent Màrtir, 143, 46007 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Parvulario El Belén,ChIJIUdeqjdPYA0RpO6oK2CcPno,0.0,ChIJIUdeqjdPYA0RpO6oK2CcPno,"['school', 'point_of_interest', 'establishment']",0,39.4626112,-0.3820577,39.46397512989272,-0.3807958701072777,39.46127547010727,-0.3834955298927222,"FJ79+25 Valencia, Spain",8CFXFJ79+25,,,
1,OPERATIONAL,"C/ de Guillem de Castro, 67, 46008 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Centro Privado de Educación Infantil Bambini,ChIJGd2nND9PYA0RXKSGuf0Hlhk,3.9,ChIJGd2nND9PYA0RXKSGuf0Hlhk,"['school', 'point_of_interest', 'establishment']",7,39.4709818,-0.3838398,39.47234302989272,-0.3824385201072777,39.46964337010728,-0.3851381798927221,"FJC8+9F Valencia, Spain",8CFXFJC8+9F,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103587149575533771546"">Pablo G.</a>'], 'photo_reference': 'Aap_uEBFNszcWtTlKD2-AxmWxrZdTZ6y8n9qzJL5y7zmk_p8FsMSagMQRD8sO-Fju8g4CL6DOP-lfcfkU8ispzed3lO47vgtfZ9iJmMSajkfz1aMNVhPpXIr0sG222ABbSrbqA38WxXKVKVFxqYxEgRzyIizGZIO1tB-MHtpALvmz8vvFnfb', 'width': 2560}]",False,
2,OPERATIONAL,"C. de Sant Vicent Màrtir, 143, 46007 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Parvulario El Belén,ChIJIUdeqjdPYA0RpO6oK2CcPno,0.0,ChIJIUdeqjdPYA0RpO6oK2CcPno,"['school', 'point_of_interest', 'establishment']",0,39.4626112,-0.3820577,39.46397512989272,-0.3807958701072777,39.46127547010727,-0.3834955298927222,"FJ79+25 Valencia, Spain",8CFXFJ79+25,,,
3,OPERATIONAL,"C/ de Guillem de Castro, 67, 46008 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Centro Privado de Educación Infantil Bambini,ChIJGd2nND9PYA0RXKSGuf0Hlhk,3.9,ChIJGd2nND9PYA0RXKSGuf0Hlhk,"['school', 'point_of_interest', 'establishment']",7,39.4709818,-0.3838398,39.47234302989272,-0.3824385201072777,39.46964337010728,-0.3851381798927221,"FJC8+9F Valencia, Spain",8CFXFJC8+9F,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103587149575533771546"">Pablo G.</a>'], 'photo_reference': 'Aap_uEB7s6uJRmsQQiPcYCJ58Ao72QuCFPTE-FmrwpGN-lnm4xpVqygpQV6E1YTL0YEfd0n6Jp1qWHjZ0yWHO3LAHY6MDqBkAgKo1gcm8EkT19SuTL9ytYp9EU_k12cnOZ5PuMkfRtR3icsW10wHUOvi0PO2yTbUqZg_0DuVkXx54dimZq-j', 'width': 2560}]",False,
4,OPERATIONAL,"C. de Sant Vicent Màrtir, 143, 46007 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Parvulario El Belén,ChIJIUdeqjdPYA0RpO6oK2CcPno,0.0,ChIJIUdeqjdPYA0RpO6oK2CcPno,"['school', 'point_of_interest', 'establishment']",0,39.4626112,-0.3820577,39.46397512989272,-0.3807958701072777,39.46127547010727,-0.3834955298927222,"FJ79+25 Valencia, Spain",8CFXFJ79+25,,,
5,OPERATIONAL,"C/ de Guillem de Castro, 67, 46008 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Centro Privado de Educación Infantil Bambini,ChIJGd2nND9PYA0RXKSGuf0Hlhk,3.9,ChIJGd2nND9PYA0RXKSGuf0Hlhk,"['school', 'point_of_interest', 'establishment']",7,39.4709818,-0.3838398,39.47234302989272,-0.3824385201072777,39.46964337010728,-0.3851381798927221,"FJC8+9F Valencia, Spain",8CFXFJC8+9F,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103587149575533771546"">Pablo G.</a>'], 'photo_reference': 'Aap_uEAv_ezp2FMZUXCK6wNbTslheu8q41RumtnqH_uoC24Vze86fGuaP_VMUxJgXGTKwOQ7vq8zZBIWX-L1USr_dRx7sqVDs6zPo8K9jumFv1JBvZWaSTXEmUgDxO9CJl5G95yna0JogY9tEgeVb8GS-qwpRWFmAjoO4tBU9jWj9Cjm-9m6', 'width': 2560}]",False,
6,OPERATIONAL,"C. de Sant Vicent Màrtir, 143, 46007 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Parvulario El Belén,ChIJIUdeqjdPYA0RpO6oK2CcPno,0.0,ChIJIUdeqjdPYA0RpO6oK2CcPno,"['school', 'point_of_interest', 'establishment']",0,39.4626112,-0.3820577,39.46397512989272,-0.3807958701072777,39.46127547010727,-0.3834955298927222,"FJ79+25 Valencia, Spain",8CFXFJ79+25,,,
7,OPERATIONAL,"C/ de Guillem de Castro, 67, 46008 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Centro Privado de Educación Infantil Bambini,ChIJGd2nND9PYA0RXKSGuf0Hlhk,3.9,ChIJGd2nND9PYA0RXKSGuf0Hlhk,"['school', 'point_of_interest', 'establishment']",7,39.4709818,-0.3838398,39.47234302989272,-0.3824385201072777,39.46964337010728,-0.3851381798927221,"FJC8+9F Valencia, Spain",8CFXFJC8+9F,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103587149575533771546"">Pablo G.</a>'], 'photo_reference': 'Aap_uEB4hBUUvpizcWtt_RUKYtnY9SIQ7_syJA3VBWHzIbQGkTqc7yvwcsrQlb29jkcNPGb1CV5akFPfrS_V8SGSCD9z_6eu5VfXrYukYOxX4DoRQbzB-6t2tSHiO-KWHp15n0vNG9xcUVlSX7Bza1x4YwrZ8Ik8nT1z0vYrLr7_7VcIes7l', 'width': 2560}]",False,
8,OPERATIONAL,"C. de Sant Vicent Màrtir, 143, 46007 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Parvulario El Belén,ChIJIUdeqjdPYA0RpO6oK2CcPno,0.0,ChIJIUdeqjdPYA0RpO6oK2CcPno,"['school', 'point_of_interest', 'establishment']",0,39.4626112,-0.3820577,39.46397512989272,-0.3807958701072777,39.46127547010727,-0.3834955298927222,"FJ79+25 Valencia, Spain",8CFXFJ79+25,,,
9,OPERATIONAL,"C/ de Guillem de Castro, 67, 46008 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Centro Privado de Educación Infantil Bambini,ChIJGd2nND9PYA0RXKSGuf0Hlhk,3.9,ChIJGd2nND9PYA0RXKSGuf0Hlhk,"['school', 'point_of_interest', 'establishment']",7,39.4709818,-0.3838398,39.47234302989272,-0.3824385201072777,39.46964337010728,-0.3851381798927221,"FJC8+9F Valencia, Spain",8CFXFJC8+9F,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103587149575533771546"">Pablo G.</a>'], 'photo_reference': 'Aap_uECluZ-l-4qm2FXWe-ebzGSFz13VAKqK5bDe8FlK4W2sgbLwIvr6JM6hA_1FIGRT1czMe6AL4y1ro_ttGIhAXT69DJa3CXWP0-htXBy-y2fA0ESh4haPuOAnFuyDHGQcLrh8LeU8mAHBTUUOoancfTmV2KE3_vXXRtO_KrIdcWbbbqkz', 'width': 2560}]",False,
