,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,opening_hours.open_now
0,CLOSED_TEMPORARILY,"Carrer del Doctor Nicasi Benlloch, 64, 46035 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/stadium_pinlet,Futuro Estadio Del Valencia CF,True,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104753775357192868562"">Santi González</a>'], 'photo_reference': 'Aap_uEDXazIGWfpv49DwRsYfBrbPsWkbompybM_4W_r_OoPFA28WJF18DZU70dBBaslSA1bkaVElBTd8e8oBMfIrpYwng1nVzq5Bph7koJY805-5t2lO93RoiQEOhKl1aA7N0JruAwOwng2uw--MN3krgdTqhrpN6BT4AbAaDjBBfNLMcZqo', 'width': 4608}]",ChIJeUQHd4tFYA0RPvtJX4XOi6Q,4.7,ChIJeUQHd4tFYA0RPvtJX4XOi6Q,"['stadium', 'point_of_interest', 'establishment']",3,39.49016,-0.3958773,39.49169822989272,-0.3942827701072778,39.48899857010728,-0.3969824298927223,FJR3+3J Valencia,8CFXFJR3+3J,
1,OPERATIONAL,"Av. de Suècia, s/n, 46010 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/stadium_pinlet,Mestalla Stadium,,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116929431440747331387"">A Google User</a>'], 'photo_reference': 'Aap_uECXw1vj9KQ-OCYo2a2Lqql4fuyBJ_qeSDHgv46thzLizP9JCPfIBrULxP3PDJ-KEw8VXOW-ga5qlO9bVq6YpgpJswC9x4f_s0XHVxH5t8IjHz9T9xjDI4Qtviq6yLu72HG4feLpG0Fyj8I-1IVZ74VO0yacwb1sr0fOC-NcJBTfa-3M', 'width': 2048}]",ChIJS_cpIb1IYA0RST7ljQtUBHU,4.6,ChIJS_cpIb1IYA0RST7ljQtUBHU,"['stadium', 'point_of_interest', 'establishment']",18621,39.47466,-0.3585882,39.47669169999999,-0.3558495,39.4726013,-0.3597727,FJFR+VH Valencia,8CFXFJFR+VH,
2,OPERATIONAL,"Cam. Molino del Sol, 8, 46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/stadium_pinlet,Estadio de 100M La Canaleta,,,ChIJA5wz8CtPYA0R-me_rnVTvac,0.0,ChIJA5wz8CtPYA0R-me_rnVTvac,"['stadium', 'point_of_interest', 'establishment']",0,39.4811471,-0.4112889,39.48234877989272,-0.4096965701072778,39.47964912010728,-0.4123962298927222,FHJQ+FF Mislata,8CFXFHJQ+FF,
3,OPERATIONAL,"Carrer de Sant Vicent de Paül, 44, 46019 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/stadium_pinlet,Estadi Ciutat de València - Llevant UD,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113858824761751959498"">Hector Chafer</a>'], 'photo_reference': 'Aap_uEBovhe-ue8yZ8d_faiavGS24BJONa78NgB1G3cgx4n9r-iYBlukmmSvfRPOB5MC7HS0uoGi2ZNDurcbd2ysSjLN3kPL5f9uuBP0UQRVOn95IoG3B0rz3CV8DZ08Zc-PCKhRBkQXVeyv4sR6RnkJ8YGbOQAF5W50wYXSQ55MZhh5iw3O', 'width': 4032}]",ChIJP3DnyRpGYA0ROBJHSX841nM,4.5,ChIJP3DnyRpGYA0ROBJHSX841nM,"['stadium', 'point_of_interest', 'establishment']",5184,39.49469089999999,-0.3638088,39.49623607989272,-0.3630459201072778,39.49353642010728,-0.3657455798927222,FJVP+VF Valencia,8CFXFJVP+VF,True
4,OPERATIONAL,"Carretera de Manises, 25, 46980 Paterna, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/stadium_pinlet,Estadi Gerardo Salvador,,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111781468430997098214"">Robert Wilson</a>'], 'photo_reference': 'Aap_uEA9qdSd-GoODOHma4b_p6o48RgikLdzeo7nn79tIwVF7OPOfVO-OVqcJghAQg_Ce-_huRdwWOdonR1PfLHll3vCXMubtzOkPV-5j-cMeI29AGTClicACzoykzXifrg6WEvwVAW_L3GkO6rj5C4WyynkSy9z4EsTBH10UKJz5tbCmzX1', 'width': 3840}]",ChIJ6yMydExFYA0RR8iLJVN9svw,3.9,ChIJ6yMydExFYA0RR8iLJVN9svw,"['stadium', 'point_of_interest', 'establishment']",244,39.5001675,-0.4472003,39.50155242989273,-0.4459628701072778,39.49885277010728,-0.4486625298927222,GH23+34 Paterna,8CFXGH23+34,
5,OPERATIONAL,"Carrer del Comte de Trénor, 1, 46003 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/stadium_pinlet,Club deportivo Serranos,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105139761285952501447"">Alberto Rodriguez</a>'], 'photo_reference': 'Aap_uEAkzYvNrjKkCzYkQQOBNS0ULyuUrxxHd0McCfmHHSZB_HzstkHwBwY3nfCLiknkOoaeZFZswTBhJwzvrC4_fsvBOyyTSs4PYEOOHvmyOuLJfe_dLKBJOtfTL-Vj2p4_037XeQlrBNlrwQhh2uwi3GzSTt92Nfk6N4xTZJtY3mO2Q89e', 'width': 4032}]",ChIJB-MCodVJYA0RDau_l9loe5s,4.0,ChIJB-MCodVJYA0RDau_l9loe5s,"['stadium', 'point_of_interest', 'establishment']",4,39.4783526,-0.3735204,39.47973362989273,-0.3721461201072778,39.47703397010729,-0.3748457798927222,FJHG+8H Valencia,8CFXFJHG+8H,
6,OPERATIONAL,"Polígono Nº 62, 289, 46190 Riba-roja de Túria, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/stadium_pinlet,Estadi Municipal Roberto Gil,,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108438396150707401737"">Jose Calabuig Marin</a>'], 'photo_reference': 'Aap_uEBGVWi-77tMfReuMWKNQxbuKGFdPy07qnr3ist_C-_aFuyfDHyWu_TqcmKGxUdz1_CoCsLlALdYFBx5zEaSlvdAKkg74fz9IuxhHK5VloFAmoltiu_AuDddDlaySCdZB-G93mTkLrU7JW4TTkBn1tb3qy_5iJbCZoYb2t-YK0CgsBS3', 'width': 4128}]",ChIJwzEBGetYYA0RpYLzyVGWt18,4.3,ChIJwzEBGetYYA0RpYLzyVGWt18,"['stadium', 'point_of_interest', 'establishment']",98,39.5440047,-0.5811877999999999,39.54545882989271,-0.5802161701072778,39.54275917010727,-0.5829158298927223,GCV9+JG Riba-roja de Túria,8CFXGCV9+JG,
7,OPERATIONAL,"Carrer Blasco Ibáñez, 2, 12540 Vila-real, Castelló",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/stadium_pinlet,Estadio de la Cerámica,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112848027011289303662"">Asma Sharma</a>'], 'photo_reference': 'Aap_uEDPIvYXi5eLH_Fm5P6vlf8ZzVBimrdJugG5TSfY3vp_uShu7L_yh_JsWZ-OD62nwiUBkNAfmMxFxoBRGBRMLgIyTef1s56hmPtsnidPWs83tcxWinGEcwkZDCeGt3qX0CumB921eCMpw_2ufjzMnhJ2ReolW1LR5ATF06QjQVvGjUro', 'width': 4032}]",ChIJ_y5aRgMHYA0RSvSY11IPmRg,4.3,ChIJ_y5aRgMHYA0RSvSY11IPmRg,"['stadium', 'point_of_interest', 'establishment']",4814,39.9438858,-0.1031381,39.94515532989272,-0.10240535,39.94245567010728,-0.10533635,WVVW+HP Villarreal,8CFXWVVW+HP,
8,OPERATIONAL,"C. d'Osca, s/n, 12004 Castelló de la Plana, Castelló",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/stadium_pinlet,Nou Estadi Castàlia,,"[{'height': 3168, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115761185143800803500"">Jordi Tena</a>'], 'photo_reference': 'Aap_uEBVj8SjJUDlVT8PTndmVpty6mbS0DcU-_eOTrOoapsNu73TV4l9cDv3lHtEBiTQqIcr73sy662raE3qNYJCMIGNk0cUIN1K-8c5I43MGfY6Fo_ctZ7sqr_8nIJOy8FWu54nXyovktgFCN4GwV8lMIWq4ZB7Kr4UlmsEfAfZHBACaGGa', 'width': 4224}]",ChIJV1VVZjP-Xw0RmepBYrib2mo,4.4,ChIJV1VVZjP-Xw0RmepBYrib2mo,"['stadium', 'point_of_interest', 'establishment']",2100,39.9961111,-0.0386111,39.99729682989272,-0.03681685000000001,39.99459717010728,-0.04006064999999999,XXW6+CH Castellón de la Plana,8CFXXXW6+CH,
9,CLOSED_TEMPORARILY,"Camí de Vera, 46020 València",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/stadium_pinlet,Camp de les Fonts,True,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100202030010782033629"">Caneto Mahe</a>'], 'photo_reference': 'Aap_uEBEdTY-J0EDWvvFAfDNUneQvXH1QnBPziCRbxDhRVWy8nVS7eYFfmIBRyZSG_xZyc7JJLO3rMmB6KJOxL50HcF-TtdEaM1PnfRe_fa800g3EEoDqnNt7eLpiItdzwVQNiGjMGqMwbeOgV65kcxi40vuzuRYihig_LJvt3wMHoY5N0CQ', 'width': 4160}]",ChIJyYeuW6NJYA0RORW8as_Y34A,1.0,ChIJyYeuW6NJYA0RORW8as_Y34A,"['stadium', 'point_of_interest', 'establishment']",1,39.4851609,-0.353406,39.48653902989272,-0.3523234201072778,39.48383937010728,-0.3550230798927222,FJPW+3J Valencia,8CFXFJPW+3J,
