,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed
0,OPERATIONAL,"Carrer de Santiago de Lés, 7, 46014 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,VALENCIA FITNESS AND HEALTH,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117795707806430223373"">A Google User</a>'], 'photo_reference': 'Aap_uEDtsRq783W5JWtkBvRThqndLlj-OqMSQtjJ0zy1Jt7CjloneWFdR1IoUQcfnl7aV0aqOB5eyvHNq9J3E8FLCTS0GQ5Y9APCMLL1x8tM-UkLFr6B3R8GcA0sPg0ub0W5z168V_Y41s5W8ypXHhL2lk-Gq_zKaLomde4ENo-Rr01YBXsa', 'width': 3264}]",ChIJ85u1S55PYA0RBWzPNXfD6zw,5.0,ChIJ85u1S55PYA0RBWzPNXfD6zw,"['physiotherapist', 'gym', 'health', 'point_of_interest', 'establishment']",49,39.467832,-0.413854,39.46920972989272,-0.4125322701072777,39.46651007010728,-0.4152319298927222,False,FH9P+4F Valencia,8CFXFH9P+4F,
1,OPERATIONAL,"Carrer del Racó d'Ademús, 9, 46018 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Primate Strength and Gymnastics,"[{'height': 3712, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106866198597154799254"">A Google User</a>'], 'photo_reference': 'Aap_uEAg95OEJpHqgvgui0vpD4NGhIziQI-CapOC8ZmMaZCGMxBtAn4kEWS4x6Vs2Z8jQPI3zEv_poTxEcrvlDRUAXWCPbW6zzLeCkD5tErLgcssxrNezVensSNuxDUSKyxtg60RvFRfPCwQuWxWgaw5vhr8VpmbwkT-l-Y2OMNPgp6Fn_3R', 'width': 5568}]",ChIJ94Zn0EhPYA0RlKs-PLsDDGk,5.0,ChIJ94Zn0EhPYA0RlKs-PLsDDGk,"['gym', 'health', 'point_of_interest', 'establishment']",23,39.4723422,-0.4028933,39.47368787989272,-0.4015789201072777,39.47098822010728,-0.4042785798927223,False,FHCW+WR Valencia,8CFXFHCW+WR,
2,CLOSED_TEMPORARILY,46035 Valencia,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gimnasio,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109519098872036315075"">Juanjo Vicioso</a>'], 'photo_reference': 'Aap_uEBM4U0DtZ08NOII4xpnx-yWAe_Uk6AYicSukwR2QThtFs_CmtVOZhhpIpfJ0hBGRHkNglP84QI3tM6yOzTuBUG0nMAnrmZFLCvIUfECyVd6I2pl_8OoKnEuR9t_kVCluBYgnZuFPqG8Hxw3isN-gADpPC7xrSP-UpNmJIWGIW6rmw_S', 'width': 1920}]",ChIJN29iwcFPYA0RlXO4l56oEVk,4.0,ChIJN29iwcFPYA0RlXO4l56oEVk,"['gym', 'health', 'point_of_interest', 'establishment']",1,39.4774842,-0.4082252,39.47883402989272,-0.4068753701072776,39.47613437010728,-0.4095750298927222,,FHGR+XP Valencia,8CFXFHGR+XP,True
3,OPERATIONAL,"PLAZA MAYOR, 2, Bajo E, 46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Gimnasio Happy-Gym Women Mislata,"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110095100352570594434"">A Google User</a>'], 'photo_reference': 'Aap_uECi-SJNaFDHYyBA_6Ut2WezmzKd_vt9u6Wgv_e3-VbU94YrcwKIxIv1MlSTMhkfG3OK5blMNCdPaW0FzjrfqjpkC70tqxPS1sIR8BPa3RAMHPm8wpEJWjV2CnG9S8q2o1NP1GnopvWRamVec19RH3_BTyreEI3rM3hNd8DjZXPPwlBf', 'width': 2016}]",ChIJT0NGvDZPYA0Rcd0qYOvMCL4,5.0,ChIJT0NGvDZPYA0Rcd0qYOvMCL4,"['gym', 'health', 'point_of_interest', 'establishment']",5,39.4765947,-0.4218448,39.47794452989272,-0.4204949701072778,39.47524487010728,-0.4231946298927222,False,FHGH+J7 Mislata,8CFXFHGH+J7,
4,OPERATIONAL,"C.C. Gran Turia de Valencia, Plaça d'Europa, s/n, 46950, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Dreamfit Valencia,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106107104821957937955"">DREAMFIT GRAN TURIA</a>'], 'photo_reference': 'Aap_uECDFa52q44etXMnXMoroBZyybpgDGV_KmJvT9YYcseuDET2aDWlpiCgeOUSznKb6kiIVtEkS8o0vYUzQgCWPlYUBNrTkD6yVmRmSYO31Tx7vJMwq7XvjiXZEHOyD-MiSTptYVYIeuuqbFImuPLpGBOIidA09idU7PMhqS9Cyv67YojY', 'width': 1920}]",ChIJUfknH6BPYA0RexoqoaQL2_M,4.3,ChIJUfknH6BPYA0RexoqoaQL2_M,"['gym', 'health', 'point_of_interest', 'establishment']",245,39.4654355,-0.4132136,39.46698882989272,-0.4118834701072777,39.46428917010728,-0.4145831298927222,False,FH8P+5P Valencia,8CFXFH8P+5P,
5,OPERATIONAL,"Carrer de Francisco Moreno Usedo, 7, 46018 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Fitness Salud,,ChIJBYPA6GhPYA0RBsnDOZCa8_Y,0.0,ChIJBYPA6GhPYA0RBsnDOZCa8_Y,"['gym', 'health', 'point_of_interest', 'establishment']",0,39.4734956,-0.3967451,39.47485092989272,-0.3955624201072778,39.47215127010728,-0.3982620798927222,,FJF3+98 Valencia,8CFXFJF3+98,
6,OPERATIONAL,"Carrer de Martí l'Humà, 46008 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gimnasio Master Gym,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100881156384934603673"">Carlos Miñana</a>'], 'photo_reference': 'Aap_uEChblJmcMVUl2jEfc6sWUuQ47E_K0fLqcvwxO3LUDSmRcfFJAZY5_mghwpTnEq2TGHzSe50cQwMekm3FQsv22wCtlpnjyED4E5wei9Bj6PdkakepZOgC36p6V8_cdjbH21BpuHLn6eVr_Eoo2HIM44LEKNI2MOynsoAtRK4JNNMVBZ1', 'width': 2048}]",ChIJP6N3zUNPYA0RDjC1f07Mvjg,4.5,ChIJP6N3zUNPYA0RDjC1f07Mvjg,"['gym', 'health', 'point_of_interest', 'establishment']",34,39.4709333,-0.3912932,39.47228312989272,-0.3899433701072777,39.46958347010728,-0.3926430298927222,False,FJC5+9F Valencia,8CFXFJC5+9F,
7,OPERATIONAL,"Av. Gregorio Gea, 73, 46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Anytime Fitness Mislata,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100581970298555414417"">Luis Garcia Villena</a>'], 'photo_reference': 'Aap_uEB7wNdMk5aLMLCUKtZv-dLyxreWWoLwIiyTo01wCiMBlbvcD8OVhc_kDltUVEed3L4Oivb2pupcLq-VO4zdUoboOskjIWcd9h0HLYO3wjzlPf3WD4t8sgBAtlpQ_CS2_SHjF7LujIfGUIflXLC3RYKyRJmvppRwhO5WkLtPaTqMovI', 'width': 4032}]",ChIJySMCuJpPYA0RRES56CcV3Sc,4.1,ChIJySMCuJpPYA0RRES56CcV3Sc,"['gym', 'health', 'point_of_interest', 'establishment']",60,39.4746751,-0.4207881,39.47604432989272,-0.4194385701072778,39.47334467010727,-0.4221382298927223,True,FHFH+VM Mislata,8CFXFHFH+VM,
8,OPERATIONAL,"Carrer de l'Arquitecte Ribes, 2A, 46014 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Parque de barras - calistenia ""PICCOLO""","[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106119729906055625180"">Raúl</a>'], 'photo_reference': 'Aap_uEBBNl8iNJ1LPY30NAYowOb6NId3GtAyYXEMzd_94TDdsY3nM9Of_7QJ-tSr06yPR7ZfhiOFXgAMGlgm2zGtUHzA8Ag7-qCy8aiDnRw0guob3TougyWPCHEYd4bYIAJADF4nC8L3UdazxhVmxXW9gkemvqFvJiFJyY0YwCBlwnHmDqlj', 'width': 3000}]",ChIJoyukPHBPYA0RqoiyAQufuHg,4.3,ChIJoyukPHBPYA0RqoiyAQufuHg,"['gym', 'health', 'point_of_interest', 'establishment']",8,39.4720666,-0.4074904,39.47337892989272,-0.4059332701072778,39.47067927010728,-0.4086329298927222,True,FHCV+R2 Valencia,8CFXFHCV+R2,
9,OPERATIONAL,"Carrer del Literat Gabriel Miró, 58, 46008 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gimnasio Femenino Curves,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115551607799234327887"">Curves Valencia – Juan Llorens</a>'], 'photo_reference': 'Aap_uEDINUaITfkA_Cdpv3QuHY0cMepYT2a39SgNhgB6eMDof2IjOOGIq7icp-IvRfXWprnpZ9IwhCGFeRAcLk4pY9mrVJcnyMebAYAcht0M4If-LC_ziAjlQFGftoQG6XZJCmrfYtWLKY7KjLNDPcCqLSXJLxxmEHO3xdDaUj-2ze8oZQVX', 'width': 4160}]",ChIJ5TxjFUJPYA0RgPpxeHYh38s,4.8,ChIJ5TxjFUJPYA0RgPpxeHYh38s,"['gym', 'health', 'point_of_interest', 'establishment']",23,39.471432,-0.392507,39.47278182989273,-0.3911571701072777,39.47008217010728,-0.3938568298927222,False,FJC4+HX Valencia,8CFXFJC4+HX,
10,OPERATIONAL,"Carrer de Jerónima Galés, 47, 46017 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Synergym Valencia Peset,"[{'height': 2432, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104108127766868133116"">A Google User</a>'], 'photo_reference': 'Aap_uEDbUXGOXycjsTVfZumto-PafBCP8hr7z2Zxm7QmTiuEpp0GO54Eh2u_wL_5cUDPROyCNgKHDdi8UDFyI4U9sSG5GHPlvzJR5G0XB6bnfsuvhoSiraQ0F1ecrDSLyzviJzbd_hOCwWcx6gRFXMvoHz4DsMzQ2Tdly0hZDT7A77D26UMX', 'width': 3648}]",ChIJrcRpJstPYA0RkY1ET0tHyxE,4.6,ChIJrcRpJstPYA0RkY1ET0tHyxE,"['gym', 'health', 'point_of_interest', 'establishment']",203,39.4517357,-0.3910964,39.45313667989272,-0.3898741701072777,39.45043702010728,-0.3925738298927222,False,FJ25+MH Valencia,8CFXFJ25+MH,
11,CLOSED_TEMPORARILY,"C. de l'Escultor Vicente Rodilla, 6, bajo izq, 46007 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curves Gimnasio Femenino Patraix,"[{'height': 300, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111194310762141702710"">Curves Gimnasio Femenino Patraix</a>'], 'photo_reference': 'Aap_uEB9-dY1ujpt99iLsX96kWLA9VnuuB-JTXHeR4KECV0UJtwomwZfDa51ft6oYCdi7uoMMuFBbce-Ys28x_uTlSdiWS7DP191Bjr4LI2CLzvtkPibokFmV3zUPCPCeTwDsXaw_ASYBlLq4qtlRv3azX7y9Iut4PsZ3bSsnNspzCCkcthE', 'width': 300}]",ChIJQxqfUTxPYA0R08uUM6nKx3s,4.4,ChIJQxqfUTxPYA0R08uUM6nKx3s,"['gym', 'health', 'point_of_interest', 'establishment']",28,39.4577795,-0.3909907,39.45912932989273,-0.3896408701072777,39.45642967010728,-0.3923405298927222,,FJ55+4J Valencia,8CFXFJ55+4J,True
12,OPERATIONAL,"Plaça del Pare Domènech, 5, 46009 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gimnasio AltaFit Valencia Campanar,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103797027218502886817"">A Google User</a>'], 'photo_reference': 'Aap_uEAFgikeX5lsnOReJho6AE24RBaQaYQCuxmioFjIJZTi1m_UgAqFGxoe3DPQw6oVknPAAv7OotAXEQD48CtIerEAbT1mEnfkqP4MfllSkbfr4ncWXqSRJEPw_psNBk9P2zMU5WW7qixWx7wl31xdJcbF4WfYRWfeeOeG4xYk7hWqbq8', 'width': 4032}]",ChIJa3W65V1PYA0RVXuEpJsCQMs,4.3,ChIJa3W65V1PYA0RVXuEpJsCQMs,"['gym', 'health', 'point_of_interest', 'establishment']",289,39.4800689,-0.3928903,39.48143752989272,-0.3914982701072778,39.47873787010728,-0.3941979298927223,False,FJJ4+2R Valencia,8CFXFJJ4+2R,
13,OPERATIONAL,"Plaça de l'Alqueria Nova, 6, 46950 Xirivella, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,CD La LLUM KARATE y GYM,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106328277651453473728"">xian ciño</a>'], 'photo_reference': 'Aap_uEDa8oniwZU88S4_Ovo2DQVYGUFjVOHiHgKsQ0mWutEc7YzK8H8-dhY0v2hDrhgZWJoG2gzumhrVlcBPMBLHATLj_HWGXMJ9M4l8Oo5rcmcT5YlAHeMRZHukbPd4HOvtNqweCQuxzhsdmJn_ouS0G2ZiTYZK0dPLC-6PMbnTuki7RlAr', 'width': 720}]",ChIJMaPHFplPYA0RUyfhyYfNe4I,5.0,ChIJMaPHFplPYA0RUyfhyYfNe4I,"['gym', 'health', 'point_of_interest', 'establishment']",17,39.4684595,-0.41866,39.46983397989273,-0.4172500701072778,39.46713432010728,-0.4199497298927222,,FH9J+9G Xirivella,8CFXFH9J+9G,
14,OPERATIONAL,"Av. de Tirso de Molina, 16, 46015 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,VivaGym Campanar | Gimnasio en Valencia,"[{'height': 933, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107435667771404456022"">A Google User</a>'], 'photo_reference': 'Aap_uEA1y79aVm9R9msqzya0bHKh7dTwc8ok4GuGdUmUeWn9QhNHJdpbhzL79utOTCqnfylFpM7VdxL1053kICDBQW6Qg_lVgmggj3YB0dE7yu4JSYdrujPae2d0z6Y4yXuFnN91l1vxjMxFr4X5HU4ciooH93OOIgT6IkK_MkQqGrymqsQF', 'width': 1400}]",ChIJW88VfhFPYA0R1l0mlIYSiE4,4.3,ChIJW88VfhFPYA0R1l0mlIYSiE4,"['gym', 'health', 'point_of_interest', 'establishment']",208,39.4774897,-0.3954825,39.47870887989271,-0.3940345201072777,39.47600922010727,-0.3967341798927222,False,FJG3+XR Valencia,8CFXFJG3+XR,
15,CLOSED_TEMPORARILY,"46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Circuito biosaludable,,ChIJW3Z09SZPYA0RVfUU8M2A3n8,0.0,ChIJW3Z09SZPYA0RVfUU8M2A3n8,"['gym', 'health', 'point_of_interest', 'establishment']",0,39.4790476,-0.4182759,39.48039742989273,-0.4169260701072778,39.47769777010729,-0.4196257298927222,,FHHJ+JM Mislata,8CFXFHHJ+JM,True
16,OPERATIONAL,"Av. de Tirso de Molina, 6, 46009 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gimnàs a València Paleotraining,"[{'height': 642, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110359221382103006895"">Paleotraining Valencia</a>'], 'photo_reference': 'Aap_uEAB3mE_e6PiieKdTyN18YqfL19x1TBMLSX8iDPifGEYrjH5B-neqHP9NPPYQ2QK3BCcxXwr7dj8_vngG25jLO2WJHT5yK8qURPL8YcKY1njIQp4z9B4CBWaQTVnmtUomTU_rWNkJ6B2Ax7ENLV6nggfR8NYawcM3_H7vgl3YJQxAw5_', 'width': 960}]",ChIJ2Sp-gV1PYA0R2VD3kzaPJYE,4.8,ChIJ2Sp-gV1PYA0R2VD3kzaPJYE,"['gym', 'health', 'point_of_interest', 'establishment']",40,39.4782173,-0.3934883,39.47956712989272,-0.3921384701072778,39.47686747010727,-0.3948381298927222,False,FJH4+7J Valencia,8CFXFJH4+7J,
