,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,photos,price_level,opening_hours.open_now,permanently_closed
0,OPERATIONAL,"Carrer de la Vall de la Ballestera, 44, 46035 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hospital,ChIJFeZT-WRPYA0R-8NvA4LImRg,0.0,ChIJFeZT-WRPYA0R-8NvA4LImRg,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.4787571,-0.4012169,39.47997297989272,-0.3998758701072777,39.47727332010727,-0.4025755298927222,FHHX+GG Valencia,8CFXFHHX+GG,,,,
1,OPERATIONAL,"Av. de les Tres Creus, 2, 46014 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Consorci Hospital General Universitari de València,ChIJYbSx4XRPYA0R9YeD3qeOnbM,3.5,ChIJYbSx4XRPYA0R9YeD3qeOnbM,"['hospital', 'health', 'point_of_interest', 'establishment']",847,39.4684725,-0.407792,39.46943117989272,-0.4063382701072777,39.46673152010727,-0.4090379298927222,FH9R+9V Valencia,8CFXFH9R+9V,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107201594745100184507"">Santi Sansa</a>'], 'photo_reference': 'Aap_uEDJPA1oRdytnqeMvWt-5K8OVz9BDFYfRX2EKo3vIQhUuKAbRCP_lPd4ie6da0BQNR5zxX71aRhTjhLneiJJXLqeNiSgnSvuNrGD9dCyKMHRFNaz7gGduWCsSRT2QNQVxomns09VbPbJniMSg7gGH1ziJfxMuEfgBtEkQmic-jm-N0wq', 'width': 4128}]",1.0,True,
2,OPERATIONAL,"Senda San Miguel de Soternes, 30B, 46014 Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Parquing Hopital General,ChIJUzqkiXZPYA0RElprc4seXmw,5.0,ChIJUzqkiXZPYA0RElprc4seXmw,"['hospital', 'health', 'point_of_interest', 'establishment']",1,39.47111719999999,-0.4100219000000001,39.47243017989272,-0.4086763201072778,39.46973052010727,-0.4113759798927223,FHCQ+CX Valencia,8CFXFHCQ+CX,,,,
3,OPERATIONAL,46014 Valencia,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Edifici Quirúrgic,ChIJv_iS9nRPYA0ROVvgYv1YnwQ,4.7,ChIJv_iS9nRPYA0ROVvgYv1YnwQ,"['hospital', 'health', 'point_of_interest', 'establishment']",7,39.4673671,-0.4090574,39.46861487989273,-0.4076978201072777,39.46591522010728,-0.4103974798927222,FH8R+W9 Valencia,8CFXFH8R+W9,,,True,
4,OPERATIONAL,"C. de Jesús, 101, 95, 46007 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hospital Concepcion,ChIJc87AQTlPYA0RMqiMBHS-v9I,0.0,ChIJc87AQTlPYA0RMqiMBHS-v9I,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.460953,-0.3877844,39.46233137989272,-0.3864900201072778,39.45963172010728,-0.3891896798927222,FJ66+9V Valencia,8CFXFJ66+9V,,,,
5,OPERATIONAL,"C. del Pare Esteban Pernet, 21, 46014 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Rehabilitació,ChIJe64k8HNPYA0RU4wWlbJncLU,5.0,ChIJe64k8HNPYA0RU4wWlbJncLU,"['hospital', 'health', 'point_of_interest', 'establishment']",3,39.4694559,-0.4073088,39.47074532989271,-0.4059239701072778,39.46804567010727,-0.4086236298927222,FH9V+Q3 Valencia,8CFXFH9V+Q3,,,,
6,OPERATIONAL,"Av. de les Tres Creus, 2, 46014 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Edificio Materno Infantil,ChIJ2zZ9CnRPYA0RRcq34Ir5p5M,3.2,ChIJ2zZ9CnRPYA0RRcq34Ir5p5M,"['hospital', 'health', 'point_of_interest', 'establishment']",6,39.4688617,-0.409536,39.47028122989272,-0.4081942201072777,39.46758157010727,-0.4108938798927222,FH9R+G5 Valencia,8CFXFH9R+G5,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108596667551365959945"">MIGUEL SELLES</a>'], 'photo_reference': 'Aap_uEDkys5sIv4jSDwoKe_ww2O_Tz38PgkZwWCsXnuU3zz9G0oEem3PTROZs0nnQh3c8Nd4gV0DYaJvcDzf-bGJyodf1R-fV0e0beEqjrs34pbDkQ2KFB3bffHk2pGJtvAdP9OhWwGvWu0x3VdTwf10r6EYjq9p8Mlxx_Ik0ET_ygzRV24S', 'width': 1200}]",,True,
7,OPERATIONAL,"Avinguda de Fernando Abril Martorell, 46026 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hospital,ChIJ-bPDL7JPYA0Rxpltag9Uvg8,0.0,ChIJ-bPDL7JPYA0Rxpltag9Uvg8,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.4454358,-0.3784447,39.44675437989272,-0.3770998701072777,39.44405472010728,-0.3797995298927222,CJWC+5J Valencia,8CFXCJWC+5J,,,,
8,OPERATIONAL,"Avinguda de Fernando Abril Martorell, 46026 València",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Mi Hospital,ChIJkR2xKadPYA0RfCwZUU5HANA,0.0,ChIJkR2xKadPYA0RfCwZUU5HANA,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.4450372,-0.3759555,39.44637282989272,-0.3746082201072777,39.44367317010727,-0.3773078798927222,CJWF+2J Valencia,8CFXCJWF+2J,,,,
9,OPERATIONAL,"Carrer de Callosa d'En Sarrià, 8, 46007 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Urgencias,ChIJ52RWcDlPYA0RxnIpvKkSF1c,0.0,ChIJ52RWcDlPYA0RxnIpvKkSF1c,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.4607055,-0.3870565,39.46208627989273,-0.3856390201072777,39.45938662010729,-0.3883386798927222,FJ67+75 Valencia,8CFXFJ67+75,,,True,
10,OPERATIONAL,"Avda.Tres Cruces, 2, 46014 Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hospital General Universitario de Valencia Reumatología y Metabolismo Óseo,ChIJB4lxUnRPYA0R_zatkfIcTd8,5.0,ChIJB4lxUnRPYA0R_zatkfIcTd8,"['hospital', 'health', 'point_of_interest', 'establishment']",1,39.46822,-0.40996,39.46961997989272,-0.4086157201072778,39.46692032010727,-0.4113153798927222,FH9R+72 Valencia,8CFXFH9R+72,,,True,
11,OPERATIONAL,"Av. de Gaspar Aguilar, 90, 46017 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Doctor Peset University Hospital,ChIJ5Y7dlCJPYA0RTHOchUHlzK8,3.7,ChIJ5Y7dlCJPYA0RTHOchUHlzK8,"['hospital', 'health', 'point_of_interest', 'establishment']",493,39.4531312,-0.394365,39.45589,-0.3922068000000001,39.450572,-0.3953876000000001,FJ34+77 Valencia,8CFXFJ34+77,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109909077144724591733"">A Google User</a>'], 'photo_reference': 'Aap_uEAGspZ8riGA0zKna4srx45LvEnNHBc4AXioxKhNROzwQ8_eUMcJaZipJ8XEohEKcEq1KBGS_NgH3k3xsT2_DoMcHBg0tH0U85mdQZvfA7YiniTD6YEQuEmBPqdWkmDjdMi7FI6ExMRXcwy9W1T7__j94z3GoANhUoOgC4PIm1xPgJQy', 'width': 3024}]",,True,
12,OPERATIONAL,"Unnamed Road,46017, 46017 Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hospital Universitario Doctor Peset Urgencias,ChIJiSx2nSJPYA0RM3FPOsLPv00,3.7,ChIJiSx2nSJPYA0RM3FPOsLPv00,"['hospital', 'health', 'point_of_interest', 'establishment']",3,39.4526471,-0.3939788,39.45413617989272,-0.3924573201072777,39.45143652010728,-0.3951569798927221,FJ34+3C Valencia,8CFXFJ34+3C,,,,
13,OPERATIONAL,"Carrer Amics del Corpus, 17, 9, 46035 Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Krankenhaus,ChIJIYF_WShFYA0RnpMZ0556XME,0.0,ChIJIYF_WShFYA0RnpMZ0556XME,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.4883518,-0.395301,39.48973502989271,-0.3939760701072778,39.48703537010726,-0.3966757298927222,FJQ3+8V Valencia,8CFXFJQ3+8V,,,,
14,OPERATIONAL,"Av. de Blasco Ibáñez, 17, 46010 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hospital Clínic Universitari,ChIJczNAcKRIYA0Rel4VMvMQvyI,3.1,ChIJczNAcKRIYA0Rel4VMvMQvyI,"['hospital', 'health', 'point_of_interest', 'establishment']",423,39.4788821,-0.3620572,39.48036582989272,-0.3603540201072777,39.47766617010728,-0.3630536798927221,FJHQ+H5 Valencia,8CFXFJHQ+H5,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107581814080727174356"">Carlos Piña</a>'], 'photo_reference': 'Aap_uEDak2pQAUb25S0dG4Wg74uuDn6V4JmuP0xcxoXx53gI0FE83r2O4Q0XZwE93TjKmU4ie2p-QOSB77Az-UKpuV3dzmVT96ZfoHZhyYCxpxYB_VVLB4Bew0MWO3DRgLa_N_0W-f6SK8xdig32ca2_xhG_tAN7QEdNAebV11MUFBIYxGfb', 'width': 4160}]",,True,
15,OPERATIONAL,"Carrer Salud, 46114 Casas de Barcena, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,HOSPITAL,ChIJZXVH3ZNIYA0R_tjK9xRcWIs,0.0,ChIJZXVH3ZNIYA0R_tjK9xRcWIs,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.4697508,-0.3506706,39.47105472989272,-0.3493440201072778,39.46835507010728,-0.3520436798927223,FJ9X+WP Casas de Bárcena,8CFXFJ9X+WP,,,,
16,OPERATIONAL,"Carrer de Joan Llorenç, 8, 46008 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Direcció D'Atenció Primaria del Departament de Salut de Valencia Hospital General,ChIJa6TS5kJPYA0Rsj6Mk5udT5k,5.0,ChIJa6TS5kJPYA0Rsj6Mk5udT5k,"['hospital', 'health', 'point_of_interest', 'establishment']",1,39.4734296,-0.3914387,39.47481347989272,-0.3900099201072778,39.47211382010727,-0.3927095798927222,FJF5+9C Valencia,8CFXFJF5+9C,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105472711813879513321"">JOAQUIN PEREZ</a>'], 'photo_reference': 'Aap_uEAf3V1wRufCWist5_8ynkifuMSxG3hegh_lnPVC7HOkPnQA_jZ38y_UMSuoNz91oF5HMt-GkNElyguOmj5YAs3q47zt5RfWaYZW0WOyMhmSaz7fJnNmwMoAhhWNpvk_TsASjujr6PwteGQrI9WnjPpPtXazQxxBeD-CM7IecSyB7kxg', 'width': 4000}]",,False,
17,OPERATIONAL,"Carrer de Sant Clement, 12, 46015 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hospital Arnau de Vilanova,ChIJ4a6ZGYZFYA0RWWQIGhi9yIE,2.7,ChIJ4a6ZGYZFYA0RWWQIGhi9yIE,"['hospital', 'health', 'point_of_interest', 'establishment']",256,39.4905515,-0.4036487,39.49179287989272,-0.4022869201072778,39.48909322010728,-0.4049865798927222,FHRW+6G Valencia,8CFXFHRW+6G,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103737246949702650677"">A Google User</a>'], 'photo_reference': 'Aap_uEDffNdQ55GJrlVobrRjRto4BGcoHY9F1lpHF6Rivb8Tq1i54fRyq927Kj6ituWNXuQQUQD5uNxY4bvcxWP989ogVgQCcIQSR8xHruP4bpTPkDUt6i7J-GfCQvcFfyJU1fZ66jOygUTnsQHbXsyKv4LiJK9uh7jiBWZQ_iiJ9-XoU4c8', 'width': 1920}]",,True,
18,OPERATIONAL,"Carrer de la Vall de la Ballestera, 59, 46015 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Vithas Hospital October 9,ChIJ94MH4mRPYA0R8LFHGCUmsZU,2.9,ChIJ94MH4mRPYA0R8LFHGCUmsZU,"['hospital', 'health', 'point_of_interest', 'establishment']",634,39.4779068,-0.4015481,39.47938447989273,-0.4000242,39.47668482010728,-0.4029713999999999,FHHX+59 Valencia,8CFXFHHX+59,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114232680828280606467"">M. OUFARKHA</a>'], 'photo_reference': 'Aap_uECtla6nIzr4c1eItKUGcQpDx57h7KfTog58ZL8nmpNXl4Txn__m4W2JsyTbAMcOwmecPP0v88ls-0Vopuwiq5Jo5L9s8g9CfSlgGdeX7fEIsbMquEbgDv4mYyHzR1BiXeL5mRXpoMxd5dMKnNnreTjG_y4189hoRxGRCzJybRy5eMjX', 'width': 4128}]",,True,
19,OPERATIONAL,"Av. de Blasco Ibáñez, 14, 46010 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Quirónsalud Valencia Hospital,ChIJx9Z6_6RIYA0RmNTC81HpUqk,2.7,ChIJx9Z6_6RIYA0RmNTC81HpUqk,"['hospital', 'health', 'point_of_interest', 'establishment']",440,39.4780885,-0.3646406,39.47952332989273,-0.3631807201072778,39.47682367010728,-0.3658803798927223,FJHP+64 Valencia,8CFXFJHP+64,"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100636966384372775815"">Enrique</a>'], 'photo_reference': 'Aap_uECImZ2BtHuoRMQMvflMHqnSMFXz3pw0bHjL4ycK8oUI_GN-fjquzbNEAsPWt0AVevWh6KADeTuPZL-GIlXNTRIzwueTg5INFsN5JP1FZ4Qvys8xWE2cNKSFMILuRkVlUjimvrmaBn3XXTj216I-jGIL8xxvAnhj-2M_34C8acW2-AHV', 'width': 2976}]",,True,
20,OPERATIONAL,"Unnamed Road,46017, 46017 Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hospital Universitario Doctor Peset Urgencias,ChIJiSx2nSJPYA0RM3FPOsLPv00,3.7,ChIJiSx2nSJPYA0RM3FPOsLPv00,"['hospital', 'health', 'point_of_interest', 'establishment']",3,39.4526471,-0.3939788,39.45413617989272,-0.3924573201072777,39.45143652010728,-0.3951569798927221,FJ34+3C Valencia,8CFXFJ34+3C,,,,
21,OPERATIONAL,"Av. de Gaspar Aguilar, 90, 46017 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Doctor Peset University Hospital,ChIJ5Y7dlCJPYA0RTHOchUHlzK8,3.7,ChIJ5Y7dlCJPYA0RTHOchUHlzK8,"['hospital', 'health', 'point_of_interest', 'establishment']",493,39.4531312,-0.394365,39.45589,-0.3922068000000001,39.450572,-0.3953876000000001,FJ34+77 Valencia,8CFXFJ34+77,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109909077144724591733"">A Google User</a>'], 'photo_reference': 'Aap_uEC2g5Nm7RprQcVPrmRWp_Iay-lxZXUJCzt1HclT86FNKo1j8AcyFtkkuZHevdJ9AGzIbo3N-6wYAWRvoVcPx7iSCw92_PdukK5Cz12_lhWCaYb1BbyF4XZx7fSmT8WXm8fwhdR1TSlon_pwLYv0Rj5FtLQqCCNEjJ8j8jHKyMGBotxP', 'width': 3024}]",,True,
22,OPERATIONAL,"C. de Jesús, 101, 95, 46007 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hospital Concepcion,ChIJc87AQTlPYA0RMqiMBHS-v9I,0.0,ChIJc87AQTlPYA0RMqiMBHS-v9I,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.460953,-0.3877844,39.46233137989272,-0.3864900201072778,39.45963172010728,-0.3891896798927222,FJ66+9V Valencia,8CFXFJ66+9V,,,,
23,OPERATIONAL,"Carrer de Callosa d'En Sarrià, 8, 46007 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Urgencias,ChIJ52RWcDlPYA0RxnIpvKkSF1c,0.0,ChIJ52RWcDlPYA0RxnIpvKkSF1c,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.4607055,-0.3870565,39.46208627989273,-0.3856390201072777,39.45938662010729,-0.3883386798927222,FJ67+75 Valencia,8CFXFJ67+75,,,True,
24,OPERATIONAL,"Avinguda de Fernando Abril Martorell, 46026 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hospital,ChIJ-bPDL7JPYA0Rxpltag9Uvg8,0.0,ChIJ-bPDL7JPYA0Rxpltag9Uvg8,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.4454358,-0.3784447,39.44675437989272,-0.3770998701072777,39.44405472010728,-0.3797995298927222,CJWC+5J Valencia,8CFXCJWC+5J,,,,
25,OPERATIONAL,"Avinguda del Doctor Tomàs Sala, 46017 València",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,HOSPITAL PESET,ChIJLzEr_HdPYA0Rtp_ex5l8iEI,1.0,ChIJLzEr_HdPYA0Rtp_ex5l8iEI,"['hospital', 'health', 'point_of_interest', 'establishment']",1,39.4534381,-0.3944455,39.45482032989273,-0.3930917201072778,39.45212067010728,-0.3957913798927223,FJ34+96 Valencia,8CFXFJ34+96,,,,
26,OPERATIONAL,"Avinguda de Fernando Abril Martorell, 46026 València",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Mi Hospital,ChIJkR2xKadPYA0RfCwZUU5HANA,0.0,ChIJkR2xKadPYA0RfCwZUU5HANA,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.4450372,-0.3759555,39.44637282989272,-0.3746082201072777,39.44367317010727,-0.3773078798927222,CJWF+2J Valencia,8CFXCJWF+2J,,,,
27,OPERATIONAL,"Carrer de la Vall de la Ballestera, 44, 46035 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hospital,ChIJFeZT-WRPYA0R-8NvA4LImRg,0.0,ChIJFeZT-WRPYA0R-8NvA4LImRg,"['hospital', 'health', 'point_of_interest', 'establishment']",0,39.4787571,-0.4012169,39.47997297989272,-0.3998758701072777,39.47727332010727,-0.4025755298927222,FHHX+GG Valencia,8CFXFHHX+GG,,,,
28,OPERATIONAL,"Carrer de Llanera de Ranes, 46017 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Tari Mobile Hospital,ChIJ-zdt1iJPYA0RVFA67B_mI4c,5.0,ChIJ-zdt1iJPYA0RVFA67B_mI4c,"['hospital', 'health', 'point_of_interest', 'establishment']",1,39.4543588,-0.3913929,39.45578617989272,-0.3901842701072778,39.45308652010728,-0.3928839298927223,FJ35+PC Valencia,8CFXFJ35+PC,,,,
