,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code
0,OPERATIONAL,"Carrer d'Alejandra Soler, 9, 46003 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Carmen Laundry Quart,"[{'height': 3021, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116021069004503530756"">A Google User</a>'], 'photo_reference': 'Aap_uECicETGSW2fsrbgwcvPTRCengiQWjvYIS5l9rGHUBFx6i0bR3eDETTQ9BydLVTtT-JJ8-ZPi3FpkhgZPuWSJ7YBhC6ubmpTWZ8WqwNYQUbayAPAZdR_LRoKcPxKofbsHgbsi0oWBvflNycQw3qk3FTKs3UQvu50lou3KlTbXHapJcJ_', 'width': 4032}]",ChIJb_C1XFBPYA0RHjXSnXr22vs,4.4,ChIJb_C1XFBPYA0RHjXSnXr22vs,"['laundry', 'point_of_interest', 'establishment']",26,39.4774164,-0.3828649,39.47877597989272,-0.3815129201072778,39.47607632010728,-0.3842125798927222,True,"FJG8+XV Valencia, Spain",8CFXFJG8+XV
1,OPERATIONAL,"Carrer dels Tomasos, 20, 46006 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ruzafa Laundry,"[{'height': 422, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102149977645553679436"">A Google User</a>'], 'photo_reference': 'Aap_uEDTPzYCGphi0B9gUHsOiT6t67wq26CaBLW61uz3jRotprHcJaQhY8iQjrSzTCnRoCpU3tjIgoKodRHDQvjKj6JUcXDV_yPR85xmusPfO1YVCL2fn9JJ0wFZKOXwRYg5wUPMgx9KYqxVGKYz2rCLTqTi2ZJkq0cWf3fw_921UJSJcmhx', 'width': 750}]",ChIJ6V7GqY9JYA0RIBmFzYnp3Zk,4.7,ChIJ6V7GqY9JYA0RIBmFzYnp3Zk,"['laundry', 'point_of_interest', 'establishment']",11,39.461641,-0.3717813,39.46290222989273,-0.3703736201072778,39.46020257010728,-0.3730732798927222,True,"FJ6H+M7 Valencia, Spain",8CFXFJ6H+M7
2,OPERATIONAL,"Carrer del Pare Santonja, 8, 46920 Mislata, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,La Lavandería,"[{'height': 1019, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114915456772870463122"">Sandra Torres pastor</a>'], 'photo_reference': 'Aap_uEBCKVwcGHSHdywi5eNfd7rzko6Pm9u4W_c0P4TERRcwQdZMJF63hc4PUc8Jmj4I6oOfIryRQ0dOY9guB3JUFBLHfkCWvyaTPMShJJX9umTwcWxK2-vaP7dfyB1-i60Gn0SLgDVMWYqqWuAfqzybNDbEJIKhw3YGghNoNf4xw0beeuLr', 'width': 736}]",ChIJF13RfZxPYA0RiM22m81eus8,2.3,ChIJF13RfZxPYA0RiM22m81eus8,"['laundry', 'point_of_interest', 'establishment']",8,39.4726357,-0.4169645,39.47396087989272,-0.4155426201072777,39.47126122010728,-0.4182422798927222,,"FHFM+36 Mislata, Spain",8CFXFHFM+36
3,OPERATIONAL,"Carrer de les Tres Forques, 89, 46014 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Colada 30,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118242449741418293167"">Zum Zu</a>'], 'photo_reference': 'Aap_uEB-UvfXNAo64NlP2eKCJAacpldD-kqnJZX7HxlChlzoULTn0TPhJPBW21ieha0A9k1_guipMQaw26XQKmOHrBzDR1PvGHYY_jRisxdXY3OD57fXiOb9rGpjiAwOmtJuIfdCmYf1qFJ00nC70_8eyoj1fXTMLeVwJXT1h8FmcZ5ZagF5', 'width': 4032}]",ChIJPyJwlRRPYA0R6zRnH_rT53I,3.9,ChIJPyJwlRRPYA0R6zRnH_rT53I,"['laundry', 'point_of_interest', 'establishment']",20,39.4637344,-0.3982537,39.46513132989272,-0.3968681201072777,39.46243167010728,-0.3995677798927221,True,"FJ72+FM Valencia, Spain",8CFXFJ72+FM
4,OPERATIONAL,"C/ de Conca, 85, 46007 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bugadry • Valencia,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113042607534400694908"">Ирина Богданова</a>'], 'photo_reference': 'Aap_uEAEAsQNdPuCMrJTitXjrol3E6UNO_pzfAtZ5KGCHF8_0Srg69HR2DK4yR4jtY5X741Dql27kDYbuGMBxrGM5kkddv2Q-J7bGeQJl-Zt6YsQuoIFBoQxPthNU8H6SESHr7IX22mGV8fdLD3IGBG6GiuXb0Wp_GL6aciH_sjqpQmRiSIz', 'width': 1920}]",ChIJLXLzKD9PYA0RIHI4V9AeZcM,4.5,ChIJLXLzKD9PYA0RIHI4V9AeZcM,"['laundry', 'point_of_interest', 'establishment']",33,39.4626888,-0.389336,39.46406812989272,-0.3880856201072777,39.46136847010727,-0.3907852798927222,True,"FJ76+37 Valencia, Spain",8CFXFJ76+37
5,OPERATIONAL,"Avinguda Blasco Ibáñez, 41, 46920 Mislata, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tintorería y Lavandería Sarrión,,ChIJwYdXt51PYA0R9vKpY9rMfrg,3.8,ChIJwYdXt51PYA0R9vKpY9rMfrg,"['laundry', 'point_of_interest', 'establishment']",11,39.4717731,-0.41439,39.47315972989273,-0.4130637201072778,39.47046007010728,-0.4157633798927222,,"FHCP+P6 Mislata, Spain",8CFXFHCP+P6
6,OPERATIONAL,"Carrer València, 11, 46920 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Limpieza De Pieles,,ChIJ-f7yuHdPYA0RTHGOYUMYljQ,0.0,ChIJ-f7yuHdPYA0RTHGOYUMYljQ,"['laundry', 'point_of_interest', 'establishment']",0,39.4736536,-0.4112657,39.47500342989272,-0.4099158701072777,39.47230377010727,-0.4126155298927222,,"FHFQ+FF Valencia, Spain",8CFXFHFQ+FF
7,OPERATIONAL,"Carrer de la Blanqueria, 9, 46003 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Carmen Laundry Serranos,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103658159733079419201"">A Google User</a>'], 'photo_reference': 'Aap_uEC0SIGAgYETsa_onDu1FnFnPoJGhB9WQtcNStQMJjAVRa-Pzsk0Wd15VUm_hKR73A0gO-zt1VcIQXrekD4NvADgti0hWbh73NNVcsTp6RFlqfn83JdZtV1t7iecgeXJTf6Kg0bZQCiF2s7WWqdelk7nPVgivQqOW67JoUlA0t3145NY', 'width': 3024}]",ChIJPebwV3tPYA0RGCd2Io45mGg,5.0,ChIJPebwV3tPYA0RGCd2Io45mGg,"['laundry', 'point_of_interest', 'establishment']",1,39.4798686,-0.3772439,39.48124967989273,-0.3758457201072777,39.47855002010728,-0.3785453798927222,True,"FJHF+W4 Valencia, Spain",8CFXFJHF+W4
8,OPERATIONAL,"Carrer del Ceramista Ros, 12-20, 46014 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Autolavado,,ChIJGcM_EH5PYA0RCqTC08qAzrQ,0.0,ChIJGcM_EH5PYA0RCqTC08qAzrQ,"['laundry', 'point_of_interest', 'establishment']",0,39.4627678,-0.4033858,39.46411692989271,-0.4020485701072777,39.46141727010727,-0.4047482298927222,,"FH7W+4J Valencia, Spain",8CFXFH7W+4J
9,OPERATIONAL,"Carrer de Juan Ramón Jiménez, 46026 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lavandería,,ChIJ83zMNdRIYA0RMoiKPYYYxNA,0.0,ChIJ83zMNdRIYA0RMoiKPYYYxNA,"['laundry', 'point_of_interest', 'establishment']",0,39.4472901,-0.3711797000000001,39.44871502989272,-0.3696669201072778,39.44601537010728,-0.3723665798927223,,"CJWH+WG Valencia, Spain",8CFXCJWH+WG
