,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed
0,OPERATIONAL,"Passeig de la Petxina, 46018 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Parque Rio,"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113156172577140064702"">optimovil</a>'], 'photo_reference': 'Aap_uECXW8G-4k_bY8YOhjwMD-BCqv2JDytQ4ayVt0M_4NHBkrzhycc0UYOD6WSnqA4t3sW5a9oE9PuZVo4M239QNH_CAb7-EewT79B3fDxNDeBj0yXLQC6yUBAfsveag0YspjDFIlz1GYBDCsJXJQrb5H0dhxIhjVn2I02NqjA0DjafrO86', 'width': 3648}]",ChIJrw2An2hPYA0RD-7NTvt2s8g,4.7,ChIJrw2An2hPYA0RD-7NTvt2s8g,"['park', 'point_of_interest', 'establishment']",222,39.4752573,-0.3972033,39.47633842989272,-0.3957702201072777,39.47363877010727,-0.3984698798927221,True,"FJG3+44 Valencia, Spain",8CFXFJG3+44,
1,OPERATIONAL,"Av. Pío Baroja, 46015 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Cabecera Park,"[{'height': 1151, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105745371811221486087"">Roberto Francisco Lasso Vidal</a>'], 'photo_reference': 'Aap_uEAQdGAGQkwkOniCcECroMY4smTF67W0tNpN7BLU7D69-PoOEMkFG0GggR5M2t6aNYiONLZ2buLVLyIQIOhlp_1n4l0d8U8zkBRy05JnJiqlNU5SBTEzLYtuOtvlVuFnaY2FIPltl-Sa04wqiZShtu40qRlQYo4DX6C3rrVXl4V7rxa6', 'width': 2048}]",ChIJLfwbXHdPYA0R_NuqZ2LL8p0,4.6,ChIJLfwbXHdPYA0R_NuqZ2LL8p0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",7882,39.4749298,-0.4079405,39.47637827989273,-0.4054136,39.47367862010729,-0.4087828,True,"FHFR+XR Valencia, Spain",8CFXFHFR+XR,
2,OPERATIONAL,"Carrer dels Campaners, 46014 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,El Parque,,ChIJpyOqBhFPYA0RaTWERTMdK6A,4.0,ChIJpyOqBhFPYA0RaTWERTMdK6A,"['park', 'point_of_interest', 'establishment']",4,39.4576277,-0.4004489,39.45884362989272,-0.3988921201072777,39.45614397010728,-0.4015917798927222,True,"FH5X+3R Valencia, Spain",8CFXFH5X+3R,
3,OPERATIONAL,"Camino Molino de Chirivella, 10D, 46014 Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Miquel Adlert Noguerol Park,"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106098190938390872625"">Josepe</a>'], 'photo_reference': 'Aap_uECEOjWy5EcjZT3a7PCBVtYTFoYPP-QOK1rhiJMCtezVqpIJEMQYp6wo-A7PxPYoOx0p7Ro8p-FeF9t7RWBqsEvX83bGvFNz5azkJiKSnji8axL0BNOge-cg1HI_pKxD1RarYbz5u6Qg_YG1VdPz2XLzZW2Mgz_CqZBWiQ1ABdOmVK3u', 'width': 2688}]",ChIJOURXa4ZPYA0RrNl9mDxjV4E,3.7,ChIJOURXa4ZPYA0RrNl9mDxjV4E,"['park', 'point_of_interest', 'establishment']",22,39.467765,-0.4119808,39.46911482989272,-0.4106309701072777,39.46641517010728,-0.4133306298927222,True,"FH9Q+46 Valencia, Spain",8CFXFH9Q+46,
4,OPERATIONAL,"Carrer de l'Escultor Ricard Boix, 1T, 46017 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Parque,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114369416072170822185"">Javier HSAT</a>'], 'photo_reference': 'Aap_uEDC0ycSqYjICE9rkngPfhJpjLqcqD8iYug23p6pPwo5c7M4BQb9ls4UvQPJ2iZOk7TQ0ayWzc_tjEArY4Qt7QZH8OtVVtLck_o66nJCrDm1AU4-yzWfJvJKW15xoSfUGot_M958vRYiSpQwwpziilrK2zJKvGZBK1HSbsXJ2D07NXzS', 'width': 4032}]",ChIJXRfn-cBPYA0RxyjtFSS1TgE,3.8,ChIJXRfn-cBPYA0RxyjtFSS1TgE,"['park', 'point_of_interest', 'establishment']",4,39.4580093,-0.3923949,39.45945192989272,-0.3911400201072777,39.45675227010727,-0.3938396798927222,,"FJ55+62 Valencia, Spain",8CFXFJ55+62,
5,OPERATIONAL,"Carrer del Brasil, 57, 46018 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,para perros Park,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117244945552733556868"">Joan Carles Alvarez Saez</a>'], 'photo_reference': 'Aap_uECQW6BiZ-0F4cSa17qxAifbN9BhLlqPq7kfl8GS9eX0HFUMmrSI5bQbt5HdQ2uFu82Z6Wf24SoqyY_PmyhUY2Ye9XS9IVdSwRhWOnH4CHZIAIgFXfK-Q_lpDfTbD7pWIGtMWTBw4bGW6rp7rdY1uA3oLQ_sJxxDE511adUXMUkjExOT', 'width': 3264}]",ChIJXxW96G5PYA0RApifyaM4EKw,3.9,ChIJXxW96G5PYA0RApifyaM4EKw,"['park', 'point_of_interest', 'establishment']",22,39.4722575,-0.4003625,39.47369002989272,-0.3989677701072778,39.47099037010727,-0.4016674298927222,True,"FHCX+WV Valencia, Spain",8CFXFHCX+WV,
6,OPERATIONAL,"C. de Campos Crespo, 25, 46017 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Parc,,ChIJaXe8_tZPYA0RX5Qb-n6SCjU,0.0,ChIJaXe8_tZPYA0RX5Qb-n6SCjU,"['park', 'point_of_interest', 'establishment']",0,39.456017,-0.3951796,39.45745642989272,-0.3938443201072777,39.45475677010727,-0.3965439798927222,True,"FJ43+CW Valencia, Spain",8CFXFJ43+CW,
7,OPERATIONAL,"46018 Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Barras Freezer Park,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115510546658695819937"">A Google User</a>'], 'photo_reference': 'Aap_uECRK8cELmIB0gGPT3LEzpxM_B8_pYMHV2TKcvGREO8u0q9M46_Iclz5s_WzfGG1WjwMfqtFEdHJWyGwvmtnECYsHg5A4azU9OWPsjzq5QzrvCDwgLbPII92tO7CzmyqKWL3GLhrlW20KO81n_rUN2GoVkAcS1PfIzvvmToRUUTsUyE9', 'width': 4032}]",ChIJJTpUOoVPYA0R8gwaBpjSn-k,4.0,ChIJJTpUOoVPYA0R8gwaBpjSn-k,"['park', 'point_of_interest', 'establishment']",69,39.4653837,-0.4017277,39.46674707989271,-0.4004511201072778,39.46404742010727,-0.4031507798927222,True,"FH8X+58 Valencia, Spain",8CFXFH8X+58,
8,OPERATIONAL,"Camí Vell de Malilla, 45A, 46006 Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Parc Central,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113995139395198799374"">antonio aguero</a>'], 'photo_reference': 'Aap_uEA-sxmdc7uda5D4s1ISIkAzG7IadSiHjN3zxVGi4SEl7UlA0AEwYwlBVVfn0wObinbyiQKWvNBIJNz2l8hq5PGTZ8HwE6t_oJhEklhOGlytvejkz0NsPiOm-O-Uv3KC65sohqigJv2wjQKFTNLfhvOFEVRuCUW9vlrFGYh9kelGNXXV', 'width': 4032}]",ChIJUaKzKDJPYA0RYJgEenZeycQ,4.5,ChIJUaKzKDJPYA0RYJgEenZeycQ,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",5697,39.4572581,-0.3790474,39.45860792989272,-0.3776975701072777,39.45590827010728,-0.3803972298927221,False,"FJ4C+W9 Valencia, Spain",8CFXFJ4C+W9,
9,OPERATIONAL,"Carrer del Músic Ayllón, s/n, 46018 València, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Parc de l'Oest,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117388832079083839782"">Jorge Ballesteros</a>'], 'photo_reference': 'Aap_uEAgZyDZzOXjO7i1jxwkU_zacnQfxjridGm9frRmtHzlXgW0iCou8sBIKAbc6kuvTZyWne0SIGpFXGLg_Yf9J4kG3_RHQXmHx99Q8M0lU9mP1qy0zgz6f3fWydHN4ao7SQ9NNO-GaUZ3vjyQm-1uyPioVtsiQ5JkKtSCXAOn9W7LzKao', 'width': 4608}]",ChIJhQd04WpPYA0RXuBKTKAuTKE,4.3,ChIJhQd04WpPYA0RXuBKTKAuTKE,"['tourist_attraction', 'point_of_interest', 'establishment']",2623,39.4666334,-0.3953217,39.46801807989272,-0.3938319701072778,39.46531842010728,-0.3965316298927222,False,"FJ83+MV Valencia, Spain",8CFXFJ83+MV,
