,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,price_level,permanently_closed
0,OPERATIONAL,"Carrer de Miguel Hernández, n14, 46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurante Fondillón,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102304893929746557430"">Salvador Ferrer</a>'], 'photo_reference': 'Aap_uEA41OU9JRm52EmUov1hRNGAEtzu38qcZV_RJTa4UBz29JQcqkKcpOwP3mG4-E9YxSI9EUCCeaRjFqgV2NQlwm0eg4TM2-YGWE-EhqIIeXcFGnCcKe0rcNVEH6K2Y_Zsk0b7R5bZvRDsYKSc9DBeoLknFPWdtTpoqwrqPbP2rtk7o3kG', 'width': 4032}]",ChIJVW_Vwm1PYA0RUzMvONX71_g,4.4,ChIJVW_Vwm1PYA0RUzMvONX71_g,"['restaurant', 'food', 'point_of_interest', 'establishment']",234,39.4741742,-0.4167613,39.47552402989272,-0.4154114701072777,39.47282437010728,-0.4181111298927222,True,FHFM+M7 Mislata,8CFXFHFM+M7,,
1,OPERATIONAL,"Carrer d'Andrés Segovia, 19, 46014 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mesón la Tapa,"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110231509649068015506"">Pili BerMar</a>'], 'photo_reference': 'Aap_uEAtsAqh-M46L7LR8zGLplDf3Ps6rpdwh7VI_J6FYi25V11XwoUC0igHnkiyMqpcgaYlHJbHgj12SmE_YEjimO6IXXhUnjsViUhve6vXVOGw9W88jEE-XWL9K-MzGmWjrzO1Y7C5LqwvDVuqR7lo07iP_osLhjrWtdNhccXH-v617vRg', 'width': 2988}]",ChIJdUAcc59PYA0RxYrNzepc3YM,4.1,ChIJdUAcc59PYA0RxYrNzepc3YM,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",672,39.4658333,-0.4147222,39.46706052989272,-0.4134128701072778,39.46436087010728,-0.4161125298927223,True,FH8P+84 Valencia,8CFXFH8P+84,1.0,
2,OPERATIONAL,"Carrer d'Emilio Lluch, 7, 46014 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cafetería Restaurante Las Brasas,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117980895821642198613"">amparo garcia</a>'], 'photo_reference': 'Aap_uEBZzmaL8DpPx81ww6HfKaGPBUYcunWgBjqODPFeVbOjHJ9oY7TKfZeQ4zeRxWMEMmlgnuBWb6lu5VZ4aVsO1LT4IX1s9Rn2saPDhAG8d1CF7X2jm995jqUYCTCUSxYZ_Z09DlVBBo-dBDH7lBIPWq7oTJeIR2nY45mp69rZsBZ5WYv-', 'width': 4000}]",ChIJCeNxYxJPYA0RTONy1aro7xI,4.0,ChIJCeNxYxJPYA0RTONy1aro7xI,"['restaurant', 'food', 'point_of_interest', 'establishment']",291,39.46273,-0.401852,39.46416802989273,-0.4002976701072778,39.46146837010728,-0.4029973298927222,True,FH7X+37 Valencia,8CFXFH7X+37,1.0,
3,OPERATIONAL,"Carrer de Fra Juníper Serra, 81, 46014 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurante Hermanos Orero,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109750314543846110780"">Monica Diaz Moreno</a>'], 'photo_reference': 'Aap_uEA090HiELchsKPg-ehIoujdnYyByKeeKR5pYYud9IkLnQceAHfm7n2H1eNgDeSosN4CYyiJdqnWCR-rWIY9-mroOlir-AW7oJugcGfmc7cmljkTToowtp-DctUr1bm5mmfiv158KT_rsrp291nJ7B1N1yWVBdWBiOCBjEQld5jtfsWT', 'width': 4128}]",ChIJnURP-xJPYA0RtlgFQA7B_Mc,3.6,ChIJnURP-xJPYA0RtlgFQA7B_Mc,"['restaurant', 'food', 'point_of_interest', 'establishment']",440,39.4630556,-0.4011111,39.46441062989273,-0.3996662701072777,39.46171097010728,-0.4023659298927222,True,FH7X+6H Valencia,8CFXFH7X+6H,1.0,
4,OPERATIONAL,"Carrer de Lluís Lamarca, 27, 46018 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bar - Restaurante Santa Cruz 2,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117999746166823684403"">Meilyn Rodriguez</a>'], 'photo_reference': 'Aap_uEDAXzAgroh9KRgY6VF2ZTCRKHHO8X4Y4s-3evTzqD5IwOKv3-F5OLe36Lthv1yI2u2YEZOVx-brOtiWApW4t9mqsz1o-aF02aN_-RJYX4LiRppBSxsKO_F-djXr7umyfMnuwjEMCwONaBkFZUV7oOi611473fn38G4xmMcGSJ_gP86M', 'width': 2048}]",ChIJa8VJDm5PYA0Rz4dQ9A_KLLo,4.1,ChIJa8VJDm5PYA0Rz4dQ9A_KLLo,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",727,39.4707588,-0.4023133,39.47217097989273,-0.4009855701072778,39.46947132010728,-0.4036852298927223,True,FHCX+83 Valencia,8CFXFHCX+83,1.0,
5,OPERATIONAL,"CC Gran Turia Plaza de Europa, s/n, 46950 Xirivella, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurante La Tagliatella,"[{'height': 1449, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118047022071693538198"">Lorena Sauri</a>'], 'photo_reference': 'Aap_uEAZgWbMz8YO3KDHDqEskZSmv8F1kB9v3WLinoUzgAtMJnx4rHakcmj7PTi3IgXJ0PEnTa52uxWFQNH2oV0K21Wa6cL8TyVYEV-DuIBtLSiy3alMDad50znupQ7mS3TcPUSbgH_SGmGSObgw4Y0VNYRRPlQBjaQ29CvQGYjKJw0baUcI', 'width': 2576}]",ChIJeePs7iJQYA0RH33imeejd0c,3.9,ChIJeePs7iJQYA0RH33imeejd0c,"['restaurant', 'food', 'point_of_interest', 'establishment']",741,39.4649962,-0.4137405,39.46659327989272,-0.4127223701072777,39.46389362010728,-0.4154220298927222,True,FH7P+XG Xirivella,8CFXFH7P+XG,2.0,
6,OPERATIONAL,"Carrer de Lepanto, nº11, 46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurante Jardyn,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105333404663318698839"">bar jardyn</a>'], 'photo_reference': 'Aap_uEBZDhJWBfroQfNk4CFPAWkQLk0PGqi3RM_KH1xfTm5q_vWOpfFlq7jstP9JYbNk0h2nXCscU6mzBEkH35IH4l-fHCwSs-3aeNTxzOOTHdPupKeHYJEHs9avDJy3Tp-WC-HjxxICmix6Jykk1-MpPT71H2v0yfp7Ksk74P51pPRUbkSc', 'width': 4608}]",ChIJAenAYZlPYA0Rvvu5wnFRmhw,4.3,ChIJAenAYZlPYA0Rvvu5wnFRmhw,"['restaurant', 'food', 'point_of_interest', 'establishment']",482,39.4701773,-0.4185173,39.47151787989272,-0.4172098201072778,39.46881822010727,-0.4199094798927223,True,FHCJ+3H Mislata,8CFXFHCJ+3H,1.0,
7,OPERATIONAL,"Plaça de l'Alqueria Nova, 10, 46950 Xirivella, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,La niña de la peineta,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117193653817976262318"">La niña de la peineta</a>'], 'photo_reference': 'Aap_uECbwK0uxstCgtPNTqZtl6Ne7YxD0Qp8eUdZqM72SvobyUHF3rk40I_IoOxeStrpV6GVgSxW7BnmxcmBQP2gUAN8Ouh0eENUr-5S5cdGugzYdrbil-W3FSICbkoOX_4ncrw4HPNxlnvGJ7q-rV2icd6rldzIQr8nFx3-oP6nK6rxOmyB', 'width': 4032}]",ChIJVdgEJplPYA0RUvPdKSLDYLA,4.2,ChIJVdgEJplPYA0RUvPdKSLDYLA,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",229,39.4678648,-0.4178472,39.46917742989272,-0.4165775701072778,39.46647777010728,-0.4192772298927222,True,FH9J+4V Xirivella,8CFXFH9J+4V,1.0,
8,OPERATIONAL,"Carrer del Cardenal Benlloch, N 41, 46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,RESTAURANTE HARRY KING,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104966901891980460437"">A Google User</a>'], 'photo_reference': 'Aap_uED2jexbjY084gKZ62XIkFB_3VyXw7WzHQe9y0fqGEPvYPvbk7YBdocQMJbPilipLkw3e1UlWlrQ-RM_Hg1MHj-c03_s30O8Ljrph42FBHsMJTXnuyCW_8fm9EMmh3jCt5swSl7f1n4ngAxJ3WGCHsMdoSm2XaA1hwalZxsFCA2feCq2', 'width': 1200}]",ChIJvdAxrOJPYA0RDTzWH2RHJSo,4.5,ChIJvdAxrOJPYA0RDTzWH2RHJSo,"['restaurant', 'food', 'point_of_interest', 'establishment']",16,39.4731179,-0.418971,39.47450102989273,-0.4176035701072778,39.47180137010729,-0.4203032298927222,True,FHFJ+6C Mislata,8CFXFHFJ+6C,,
9,OPERATIONAL,"De, Camino Chirivella Viejo, 56, 46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bar Restaurante La Barraca De Nelson,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102064657178721476256"">A Google User</a>'], 'photo_reference': 'Aap_uEDQGsjmpaA36iNVxttovHoo3siiFTjoDgKnjEav0MwT6_gi_frqXMS7lpVh0vP0_G9JoZNjR82CZieksLmBrMx26TZmMW3pV-6dXCjBzh9m6F2O5D_F4e7-ENC7sUUm84J3yoyRwsAzp3wGg8b_x5XvOfmmz9kzjYxDvgNrKS3WGx-J', 'width': 3456}]",ChIJM_XLnp5PYA0RICosZfmsT0U,3.7,ChIJM_XLnp5PYA0RICosZfmsT0U,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",44,39.469866,-0.4158500000000001,39.47123512989273,-0.4144488701072778,39.46853547010728,-0.4171485298927223,True,FH9M+WM Mislata,8CFXFH9M+WM,1.0,
